housing_median_age,population,median_income,month,median_house_value,ocean_proximity
42,1941,2.5213,3,149700,<1H OCEAN
36,1835,2.48,3,138900,<1H OCEAN
45,996,2.8194,3,165000,<1H OCEAN
41,690,2.0476,3,181300,<1H OCEAN
47,781,4.6528,3,244400,<1H OCEAN
48,462,3.5893,3,212500,<1H OCEAN
40,1375,4.825,3,205800,<1H OCEAN
34,407,4.5766,3,185800,<1H OCEAN
48,835,4.2891,3,214800,<1H OCEAN
37,1088,2.975,3,244500,<1H OCEAN
28,2670,3.0919,3,185400,<1H OCEAN
35,1523,3.5638,3,170500,<1H OCEAN
36,1371,5.2083,3,220900,<1H OCEAN
37,750,5.2049,3,240800,<1H OCEAN
28,974,2.2843,3,183800,<1H OCEAN
41,801,3.1806,3,204200,<1H OCEAN
32,1413,4.5089,3,221100,<1H OCEAN
31,495,5.5051,3,223500,<1H OCEAN
35,3220,3.3389,3,187100,<1H OCEAN
11,1584,2.8889,3,153100,<1H OCEAN
29,3320,2.6111,3,168800,<1H OCEAN
34,125,0.8907,3,154200,<1H OCEAN
50,1777,2.7679,3,178800,<1H OCEAN
39,1161,2.2167,3,176700,<1H OCEAN
33,2496,3.133,3,156000,<1H OCEAN
45,1768,3.1306,3,214000,<1H OCEAN
47,1445,3.6667,3,210900,<1H OCEAN
43,1667,2.8667,3,217800,<1H OCEAN
43,1817,2.7466,3,208900,<1H OCEAN
39,1467,3.015,3,156300,<1H OCEAN
42,1688,3.1691,3,141300,<1H OCEAN
52,99,3.4375,3,170000,<1H OCEAN
42,312,2.625,3,164300,<1H OCEAN
42,1935,3.7184,3,277300,<1H OCEAN
52,749,3.5673,3,270700,<1H OCEAN
29,2320,2.7685,3,204500,<1H OCEAN
47,1512,2.1071,3,208900,<1H OCEAN
46,966,2.9392,3,230300,<1H OCEAN
36,934,3.0521,3,276600,<1H OCEAN
39,1378,4.4094,3,352600,<1H OCEAN
38,1830,3.6181,3,495600,<1H OCEAN
45,633,3.1445,3,438300,<1H OCEAN
50,836,12.8763,3,500001,<1H OCEAN
52,1375,2.7348,3,209100,<1H OCEAN
52,1278,3.8393,3,238200,<1H OCEAN
50,1089,3.575,3,230600,<1H OCEAN
30,1076,5.296,3,500001,<1H OCEAN
40,1144,3.0461,3,264300,<1H OCEAN
39,1165,2.9417,3,254200,<1H OCEAN
43,1190,3.5172,3,265500,<1H OCEAN
24,1685,2.3789,3,266700,<1H OCEAN
49,1113,12.9591,3,500001,<1H OCEAN
48,681,3.2333,3,436400,<1H OCEAN
52,1213,3.5806,3,391900,<1H OCEAN
37,3895,2.0672,3,283300,<1H OCEAN
25,568,8.4389,3,500001,<1H OCEAN
52,645,6.9391,3,500001,<1H OCEAN
52,735,5.8659,3,433300,<1H OCEAN
39,1271,8.0073,3,500001,<1H OCEAN
40,907,7.2692,3,498700,<1H OCEAN
52,1218,4.15,3,393500,<1H OCEAN
42,857,4.0833,3,434400,<1H OCEAN
33,2404,3.2462,3,435700,<1H OCEAN
48,2796,2.3974,3,410700,<1H OCEAN
38,1939,2.2148,3,438300,<1H OCEAN
48,784,3.0642,3,342900,<1H OCEAN
37,846,8.2335,3,430200,<1H OCEAN
34,540,4.0833,3,500001,<1H OCEAN
23,769,6.0352,3,500001,<1H OCEAN
45,751,6.6739,3,500001,<1H OCEAN
23,1624,4.0965,3,500001,<1H OCEAN
40,2034,3.6974,3,500001,<1H OCEAN
26,1720,3.358,3,364500,<1H OCEAN
52,578,2.976,3,405100,<1H OCEAN
52,423,3.0179,3,500001,<1H OCEAN
18,3596,2.8036,3,225000,<1H OCEAN
16,1648,2.6458,3,372200,<1H OCEAN
20,1161,3.9044,3,436400,<1H OCEAN
18,2103,2.325,3,250000,<1H OCEAN
24,2863,1.845,3,237500,<1H OCEAN
51,527,4.3571,3,468800,<1H OCEAN
29,2039,1.8209,3,500001,<1H OCEAN
24,1215,1.5429,3,325000,<1H OCEAN
28,1271,2.5434,3,232100,<1H OCEAN
30,4123,1.51,3,187500,<1H OCEAN
43,3049,1.3157,3,333300,<1H OCEAN
40,4828,1.6903,3,350000,<1H OCEAN
28,1463,1.7306,3,450000,<1H OCEAN
35,5899,1.9354,3,340000,<1H OCEAN
25,4865,1.6112,3,262500,<1H OCEAN
36,3030,1.5328,3,250000,<1H OCEAN
33,918,1.705,3,350000,<1H OCEAN
48,1610,1.625,3,237500,<1H OCEAN
45,1552,2.0888,3,237500,<1H OCEAN
43,1460,1.4005,3,193800,<1H OCEAN
34,2655,1.6331,3,162500,<1H OCEAN
30,1445,2.1403,3,200000,<1H OCEAN
29,691,2.1866,3,250000,<1H OCEAN
34,482,1.625,3,67500,<1H OCEAN
34,2626,1.8214,3,211100,<1H OCEAN
28,891,1.8977,3,100000,<1H OCEAN
37,835,1.8576,3,193800,<1H OCEAN
32,626,2.0341,3,250000,<1H OCEAN
27,332,2.5556,3,175000,<1H OCEAN
36,1957,1.7325,3,221900,<1H OCEAN
34,1976,2.0557,3,225000,<1H OCEAN
31,597,1.5284,3,200000,<1H OCEAN
30,2197,1.8277,3,137500,<1H OCEAN
52,756,2.2311,3,206300,<1H OCEAN
29,3432,1.7083,3,166700,<1H OCEAN
40,3953,1.8156,3,218800,<1H OCEAN
36,1506,1.2412,3,216700,<1H OCEAN
38,2717,1.7641,3,250000,<1H OCEAN
36,1964,1.9297,3,203300,<1H OCEAN
34,2991,1.7514,3,187500,<1H OCEAN
36,3155,2.2612,3,230400,<1H OCEAN
39,744,2.7054,3,162500,<1H OCEAN
29,2254,2.3317,3,172500,<1H OCEAN
38,664,3.0357,3,175000,<1H OCEAN
43,1941,1.9835,3,225000,<1H OCEAN
28,1974,1.9766,3,112500,<1H OCEAN
35,3441,2.0467,3,158300,<1H OCEAN
35,3548,2.0132,3,198400,<1H OCEAN
39,586,1.8056,3,262500,<1H OCEAN
52,984,1.9063,3,261600,<1H OCEAN
29,3906,2.1927,3,253300,<1H OCEAN
25,2860,1.4497,3,205600,<1H OCEAN
32,2178,2.0307,3,226700,<1H OCEAN
36,2446,2.1524,3,187500,<1H OCEAN
30,3678,2,3,240600,<1H OCEAN
42,2500,1.5195,3,218200,<1H OCEAN
44,2297,1.676,3,208800,<1H OCEAN
30,2595,2.0044,3,212500,<1H OCEAN
28,2548,1.879,3,218800,<1H OCEAN
36,416,3.6953,3,200000,<1H OCEAN
36,340,1.4375,3,165000,<1H OCEAN
40,1514,1.9911,3,220000,<1H OCEAN
5,1733,2.3568,3,204700,<1H OCEAN
14,1691,2.2,3,210000,<1H OCEAN
50,1584,3.1078,3,346700,<1H OCEAN
52,849,3.2946,3,321600,<1H OCEAN
52,547,10.3661,3,500001,<1H OCEAN
47,921,2.8021,3,280600,<1H OCEAN
52,514,3.8472,3,395700,<1H OCEAN
52,908,3.8141,3,342000,<1H OCEAN
42,1228,2.5982,3,315800,<1H OCEAN
52,727,4.5833,3,333900,<1H OCEAN
52,794,3.2824,3,304800,<1H OCEAN
52,575,3.125,3,380400,<1H OCEAN
52,671,3.5083,3,500001,<1H OCEAN
50,1345,3.2426,3,442900,<1H OCEAN
30,1460,2.2422,3,254500,<1H OCEAN
31,2189,1.7542,3,287500,<1H OCEAN
46,1250,2.4196,3,358100,<1H OCEAN
23,1264,2.7543,3,220000,<1H OCEAN
52,754,3.37,3,330300,<1H OCEAN
52,1053,4.1429,3,380300,<1H OCEAN
34,3326,1.8771,3,247500,<1H OCEAN
36,1502,2.1766,3,205600,<1H OCEAN
27,1603,2.8971,3,251100,<1H OCEAN
26,1868,2.7038,3,227100,<1H OCEAN
34,557,1.525,3,210000,<1H OCEAN
23,2795,1.8495,3,212500,<1H OCEAN
34,1774,1.5685,3,225000,<1H OCEAN
32,3646,2.3846,3,258300,<1H OCEAN
25,2635,2.4,3,173900,<1H OCEAN
38,445,1.9286,3,137500,<1H OCEAN
34,843,11.615,3,500001,<1H OCEAN
26,1468,8.5136,3,500001,<1H OCEAN
33,2701,4.1717,3,500001,<1H OCEAN
35,1361,6.5195,3,500001,<1H OCEAN
38,870,7.1134,3,416700,<1H OCEAN
42,1863,8.5842,3,500001,<1H OCEAN
36,1129,2.5588,3,500001,<1H OCEAN
37,100,15.0001,3,500001,<1H OCEAN
39,975,9.3092,3,500001,<1H OCEAN
30,1776,8.944,3,500001,<1H OCEAN
41,230,4.3214,3,500001,<1H OCEAN
38,1061,2.9643,3,355300,<1H OCEAN
40,1557,1.9937,3,367100,<1H OCEAN
52,1258,3.9783,3,374100,<1H OCEAN
22,1224,3.2149,3,300000,<1H OCEAN
31,1059,2.8942,3,500001,<1H OCEAN
45,1265,3.3864,3,397900,<1H OCEAN
52,600,5.7524,3,393600,<1H OCEAN
52,543,6.0338,3,423700,<1H OCEAN
48,1421,3.6579,3,318600,<1H OCEAN
52,689,4.0721,3,350000,<1H OCEAN
51,1082,6.4459,3,421600,<1H OCEAN
41,1364,5.7778,3,412700,<1H OCEAN
41,1859,2.978,3,306800,<1H OCEAN
46,514,4.2019,3,352100,<1H OCEAN
52,775,5.4122,3,397500,<1H OCEAN
52,787,4.5781,3,360500,<1H OCEAN
44,1227,4.0602,3,324000,<1H OCEAN
50,793,4.7132,3,304600,<1H OCEAN
49,1066,3.0958,3,210900,<1H OCEAN
48,633,2.3421,3,200000,<1H OCEAN
49,2004,2.7875,3,217300,<1H OCEAN
48,589,4.1667,3,344800,<1H OCEAN
52,1559,3.9674,3,268800,<1H OCEAN
52,1480,2.3333,3,196500,<1H OCEAN
52,1048,3.7847,3,252300,<1H OCEAN
51,669,3.6434,3,278800,<1H OCEAN
36,2652,3.8448,3,241400,<1H OCEAN
52,439,4.625,3,230800,<1H OCEAN
44,1783,2.9709,3,225000,<1H OCEAN
52,994,2.3816,3,166700,<1H OCEAN
41,1069,2.4375,3,203300,<1H OCEAN
46,910,3.5039,3,187500,<1H OCEAN
35,1016,2.3913,3,198800,<1H OCEAN
36,2823,2.0214,3,170500,<1H OCEAN
28,673,2.625,3,187500,<1H OCEAN
27,1795,1.7016,3,160000,<1H OCEAN
38,2899,2.5521,3,157500,<1H OCEAN
46,2587,2.7179,3,184300,<1H OCEAN
42,982,2.9423,3,200000,<1H OCEAN
52,2328,2.6178,3,203100,<1H OCEAN
43,658,3.2386,3,185000,<1H OCEAN
38,1692,1.87,3,170800,<1H OCEAN
42,1454,3.1607,3,182000,<1H OCEAN
52,938,2.4429,3,228800,<1H OCEAN
39,1934,2.875,3,213500,<1H OCEAN
40,1568,2.7366,3,169100,<1H OCEAN
49,2862,2.4677,3,219200,<1H OCEAN
35,1586,1.9722,3,156300,<1H OCEAN
40,397,3.1944,3,143800,<1H OCEAN
52,86,4.9844,3,187500,<1H OCEAN
52,65,4.025,3,137500,<1H OCEAN
47,913,2.6442,3,136100,<1H OCEAN
49,1500,2.6923,3,150000,<1H OCEAN
45,1680,2.6051,3,155500,<1H OCEAN
52,957,3.5603,3,210000,<1H OCEAN
52,32,3.75,3,241700,<1H OCEAN
44,1121,2.1108,3,200000,<1H OCEAN
47,2104,2.6136,3,169200,<1H OCEAN
43,1919,2.6336,3,174300,<1H OCEAN
52,1211,2.935,3,189400,<1H OCEAN
50,2183,1.7945,3,166700,<1H OCEAN
45,1992,2.5428,3,167800,<1H OCEAN
52,1728,3.1864,3,189800,<1H OCEAN
45,2699,1.9209,3,179200,<1H OCEAN
46,2371,2.4038,3,181700,<1H OCEAN
52,701,2.7625,3,232100,<1H OCEAN
47,2033,1.9028,3,217900,<1H OCEAN
43,1275,2,3,175000,<1H OCEAN
20,87,1.5491,3,225000,<1H OCEAN
27,249,1.6136,3,137500,<1H OCEAN
18,4332,2.2545,3,192500,<1H OCEAN
16,801,2.3942,3,133300,<1H OCEAN
40,970,1.875,3,150000,<1H OCEAN
31,573,1.8173,3,154200,<1H OCEAN
34,2105,1.9704,3,152100,<1H OCEAN
38,1055,2.3409,3,115500,<1H OCEAN
49,1405,2.4375,3,114000,<1H OCEAN
21,1688,1.9937,3,139600,<1H OCEAN
34,2203,2.2708,3,159600,<1H OCEAN
39,1347,2.2907,3,133900,<1H OCEAN
26,3163,1.9495,3,173200,<1H OCEAN
39,1668,2.5343,3,138200,<1H OCEAN
41,1699,2.2222,3,126000,<1H OCEAN
39,1205,4.239,3,213000,<1H OCEAN
52,3062,2.6806,3,153000,<1H OCEAN
39,1171,1.6118,3,138500,<1H OCEAN
39,1780,2.4632,3,144200,<1H OCEAN
37,1961,1.9881,3,159200,<1H OCEAN
35,2059,2.0133,3,145800,<1H OCEAN
36,1079,1.7463,3,158300,<1H OCEAN
31,1198,2.1333,3,160200,<1H OCEAN
52,1848,2.4135,3,167200,<1H OCEAN
47,1452,1.7292,3,191700,<1H OCEAN
31,1486,2.3859,3,153100,<1H OCEAN
42,1312,1.9375,3,168800,<1H OCEAN
29,1580,1.8781,3,147500,<1H OCEAN
36,2881,2.1696,3,170800,<1H OCEAN
48,2484,3.1146,3,142500,<1H OCEAN
37,318,1.3125,3,145800,<1H OCEAN
45,1069,3.3977,3,153800,<1H OCEAN
40,2747,2.6226,3,148800,<1H OCEAN
44,1605,3.3785,3,184900,<1H OCEAN
41,2043,1.9706,3,144200,<1H OCEAN
10,921,4.875,3,200400,<1H OCEAN
10,763,4.975,3,166700,<1H OCEAN
7,1215,4.7853,3,153100,<1H OCEAN
8,435,4.9231,3,230900,<1H OCEAN
35,2230,2.9167,3,129300,<1H OCEAN
35,1487,1.9038,3,139500,<1H OCEAN
38,2128,3.0241,3,166300,<1H OCEAN
42,1152,3.375,3,169600,<1H OCEAN
44,1133,2.5132,3,163100,<1H OCEAN
33,1345,2.375,3,175000,<1H OCEAN
50,1093,3.1442,3,162100,<1H OCEAN
36,3097,2.5523,3,156500,<1H OCEAN
33,3212,2.2348,3,146600,<1H OCEAN
31,1164,2.9939,3,135500,<1H OCEAN
33,1475,2.3281,3,151900,<1H OCEAN
43,1338,3.2031,3,144600,<1H OCEAN
39,731,3.2279,3,158500,<1H OCEAN
33,936,3.375,3,147500,<1H OCEAN
28,2218,2.6842,3,156000,<1H OCEAN
19,1510,3.4952,3,150000,<1H OCEAN
41,925,3.5769,3,135700,<1H OCEAN
37,814,3.875,3,148500,<1H OCEAN
27,2189,2.6083,3,148600,<1H OCEAN
32,748,1.9762,3,137500,<1H OCEAN
47,3020,1.1868,3,93800,<1H OCEAN
46,533,2.2961,3,112500,<1H OCEAN
40,1441,2.1136,3,111800,<1H OCEAN
8,728,2.4886,3,137500,<1H OCEAN
46,1435,1.6667,3,133600,<1H OCEAN
36,2883,2.0885,3,142800,<1H OCEAN
37,276,3.2125,3,125000,<1H OCEAN
46,401,2.1029,3,109400,<1H OCEAN
30,1152,2.3611,3,156800,<1H OCEAN
52,41,10.2264,3,112500,<1H OCEAN
36,1668,1.0714,3,137500,<1H OCEAN
52,434,2.095,3,109100,<1H OCEAN
34,1132,2.2344,3,153100,<1H OCEAN
34,928,3.1654,3,155000,<1H OCEAN
41,1640,1.6122,3,157100,<1H OCEAN
26,694,1.3846,3,129200,<1H OCEAN
28,1358,2.52,3,131900,<1H OCEAN
28,1485,1.9271,3,136400,<1H OCEAN
45,2868,2.121,3,144000,<1H OCEAN
43,1279,1.9615,3,141700,<1H OCEAN
40,1354,1.9205,3,121900,<1H OCEAN
40,1085,1.7054,3,117200,<1H OCEAN
42,2490,2.02,3,147200,<1H OCEAN
41,1887,2.625,3,150000,<1H OCEAN
43,1084,2.7708,3,127900,<1H OCEAN
41,1178,2.1058,3,124300,<1H OCEAN
50,1526,2.29,3,121800,<1H OCEAN
45,1194,2.1806,3,134900,<1H OCEAN
40,1322,1.9688,3,150000,<1H OCEAN
52,1036,2.1071,3,136700,<1H OCEAN
50,851,3.2639,3,142600,<1H OCEAN
52,1223,2.07,3,136300,<1H OCEAN
47,1629,3.7619,3,127600,<1H OCEAN
52,1849,2.3716,3,122800,<1H OCEAN
44,1419,1.8224,3,143800,<1H OCEAN
36,2003,2.181,3,147200,<1H OCEAN
44,1998,1.6888,3,125000,<1H OCEAN
18,547,1.0333,3,135400,<1H OCEAN
36,2097,2.1862,3,135300,<1H OCEAN
37,881,2.2454,3,165000,<1H OCEAN
47,1557,2.8,3,148400,<1H OCEAN
28,3199,1.6319,3,151600,<1H OCEAN
52,1153,2.1923,3,155000,<1H OCEAN
43,1667,1.9402,3,139300,<1H OCEAN
47,930,2.5455,3,114300,<1H OCEAN
43,1417,1.4189,3,141700,<1H OCEAN
44,1598,1.2,3,115600,<1H OCEAN
43,2468,1.5163,3,115000,<1H OCEAN
43,1844,1.9405,3,152500,<1H OCEAN
47,1499,2.2788,3,139600,<1H OCEAN
45,888,1.8125,3,139600,<1H OCEAN
45,1893,2.6573,3,141800,<1H OCEAN
44,1718,2.5268,3,141100,<1H OCEAN
52,547,2.2083,3,146300,<1H OCEAN
47,872,2.2656,3,145000,<1H OCEAN
41,1150,1.925,3,135200,<1H OCEAN
49,1411,2.75,3,146000,<1H OCEAN
52,813,2.3472,3,135200,<1H OCEAN
37,1776,2.7266,3,140800,<1H OCEAN
52,730,1.4115,3,140600,<1H OCEAN
45,872,2.6875,3,129700,<1H OCEAN
44,3260,2.3575,3,144800,<1H OCEAN
48,2419,2.3944,3,130700,<1H OCEAN
26,35,1.625,3,175000,<1H OCEAN
42,548,3.7543,3,126600,<1H OCEAN
52,55,7.5752,3,67500,<1H OCEAN
43,2123,1.3615,3,133300,<1H OCEAN
52,346,2.5313,3,225000,<1H OCEAN
13,1823,0.8288,3,181300,<1H OCEAN
52,171,1.0769,3,112500,<1H OCEAN
33,435,1.1979,3,350000,<1H OCEAN
8,1074,1.0227,3,87500,<1H OCEAN
19,3325,1.7395,3,162500,<1H OCEAN
52,2232,0.6775,3,350000,<1H OCEAN
8,1086,0.8131,3,275000,<1H OCEAN
12,1673,5.3081,3,287500,<1H OCEAN
52,41,4.0972,3,500001,<1H OCEAN
6,1051,2.462,3,162500,<1H OCEAN
52,249,1.7763,3,312500,<1H OCEAN
15,490,1.4886,3,175000,<1H OCEAN
40,1150,1.8625,3,131300,<1H OCEAN
52,2382,1.8438,3,185900,<1H OCEAN
40,995,2.2607,3,165600,<1H OCEAN
30,763,2.5227,3,187500,<1H OCEAN
38,1174,2.345,3,225000,<1H OCEAN
42,3974,1.5854,3,87500,<1H OCEAN
42,1593,2.3438,3,213300,<1H OCEAN
30,2188,1.5885,3,154200,<1H OCEAN
34,1239,2.3438,3,152100,<1H OCEAN
32,2071,2.1135,3,152500,<1H OCEAN
33,2013,1.9818,3,208300,<1H OCEAN
33,1533,2.3981,3,183300,<1H OCEAN
41,1111,1.9233,3,207100,<1H OCEAN
24,2642,2.4632,3,216700,<1H OCEAN
14,2226,2.2552,3,265900,<1H OCEAN
32,1684,2.3636,3,190000,<1H OCEAN
25,7221,2.0173,3,177500,<1H OCEAN
14,2251,1.1642,3,400000,<1H OCEAN
17,3051,1.7199,3,175000,<1H OCEAN
17,3915,1.1346,3,137500,<1H OCEAN
25,3723,1.3241,3,112500,<1H OCEAN
45,1172,1.494,3,187500,<1H OCEAN
26,1204,1.4904,3,275000,<1H OCEAN
33,3707,1.7238,3,110000,<1H OCEAN
37,1122,2.7634,3,137500,<1H OCEAN
52,2081,0.9563,3,275000,<1H OCEAN
52,2309,1.6184,3,225000,<1H OCEAN
52,990,1.1122,3,187500,<1H OCEAN
42,3795,1.2254,3,162500,<1H OCEAN
25,2796,1.7866,3,325000,<1H OCEAN
26,1685,1.5727,3,225000,<1H OCEAN
28,2079,1.4615,3,275000,<1H OCEAN
31,2510,1.6355,3,162500,<1H OCEAN
41,2931,1.4413,3,158900,<1H OCEAN
41,2260,1.3,3,162500,<1H OCEAN
44,1805,1.4801,3,212500,<1H OCEAN
47,1406,1.3169,3,112500,<1H OCEAN
13,2158,1.7038,3,118100,<1H OCEAN
24,751,1.8304,3,225000,<1H OCEAN
12,1194,1.2012,3,275000,<1H OCEAN
52,861,8.8062,3,500001,<1H OCEAN
52,693,15.0001,3,500001,<1H OCEAN
52,813,15.0001,3,500001,<1H OCEAN
52,531,15.0001,3,500001,<1H OCEAN
52,883,7.4574,3,500001,<1H OCEAN
52,707,3.4812,3,432800,<1H OCEAN
49,987,1.6806,3,316700,<1H OCEAN
19,2465,2.5386,3,290600,<1H OCEAN
9,1704,2.0185,3,141700,<1H OCEAN
22,634,1.6406,3,300000,<1H OCEAN
26,2660,2.3567,3,253100,<1H OCEAN
43,3920,1.925,3,300000,<1H OCEAN
31,1793,2.4348,3,230600,<1H OCEAN
46,7443,1.8238,3,237500,<1H OCEAN
26,2660,2.3375,3,282300,<1H OCEAN
36,2274,3.425,3,281700,<1H OCEAN
28,2759,2.2364,3,305600,<1H OCEAN
49,1539,2.6218,3,350900,<1H OCEAN
40,2149,2.2653,3,445000,<1H OCEAN
52,967,11.2185,3,500001,<1H OCEAN
36,145,0.8804,3,450000,<1H OCEAN
52,578,5.7393,3,500001,<1H OCEAN
25,1420,3.5909,3,404500,<1H OCEAN
52,457,15.0001,3,500001,<1H OCEAN
26,4533,2.3105,3,166700,<1H OCEAN
30,2535,1.6987,3,412500,<1H OCEAN
18,3296,2.2708,3,175000,<1H OCEAN
20,2919,2.3674,3,500001,<1H OCEAN
20,1749,2.2094,3,75000,<1H OCEAN
34,2326,1.9038,3,325000,<1H OCEAN
24,3727,1.7365,3,112500,<1H OCEAN
28,5840,1.8829,3,300000,<1H OCEAN
43,942,1.6953,3,150000,<1H OCEAN
42,6846,1.5553,3,70000,<1H OCEAN
27,4137,1.5954,3,187500,<1H OCEAN
46,2716,2.1637,3,350000,<1H OCEAN
47,2860,1.468,3,137500,<1H OCEAN
23,2235,1.9309,3,233300,<1H OCEAN
33,3906,2.0332,3,270000,<1H OCEAN
21,3468,1.8214,3,475000,<1H OCEAN
23,3720,1.7896,3,322200,<1H OCEAN
24,1268,2.8202,3,500001,<1H OCEAN
47,4225,1.6725,3,187500,<1H OCEAN
34,1351,2.0547,3,410000,<1H OCEAN
52,1920,2.1435,3,328900,<1H OCEAN
31,3107,2.0278,3,360000,<1H OCEAN
14,1639,1.9949,3,380000,<1H OCEAN
42,2224,3.5517,3,291500,<1H OCEAN
43,1654,4.125,3,436800,<1H OCEAN
36,1383,4.5918,3,337000,<1H OCEAN
52,737,8.3617,3,433800,<1H OCEAN
48,1868,3.375,3,257800,<1H OCEAN
44,1323,2.5284,3,226300,<1H OCEAN
45,1446,2.1736,3,171300,<1H OCEAN
50,976,1.5882,3,327300,<1H OCEAN
42,3480,1.9923,3,250000,<1H OCEAN
35,1578,2.5313,3,305800,<1H OCEAN
40,1161,3.1406,3,417600,<1H OCEAN
44,2028,1.9152,3,115600,<1H OCEAN
42,1605,1.721,3,214300,<1H OCEAN
42,582,2.2937,3,350000,<1H OCEAN
46,1845,2.1414,3,157700,<1H OCEAN
31,2034,2.2684,3,193800,<1H OCEAN
30,1615,1.3867,3,193800,<1H OCEAN
34,1325,1.5972,3,168800,<1H OCEAN
36,1664,1.9323,3,161100,<1H OCEAN
34,1987,2.096,3,187500,<1H OCEAN
18,5229,1.847,3,250000,<1H OCEAN
11,1143,2.3864,3,350000,<1H OCEAN
31,4126,2.053,3,229200,<1H OCEAN
52,714,4.6838,3,479000,<1H OCEAN
52,1030,4.89,3,500001,<1H OCEAN
52,894,4.1328,3,500001,<1H OCEAN
52,981,5.8632,3,450000,<1H OCEAN
52,495,10.586,3,500001,<1H OCEAN
52,688,15.0001,3,500001,<1H OCEAN
52,588,6.2223,3,500001,<1H OCEAN
52,1203,4.1618,3,500001,<1H OCEAN
52,971,5.5871,3,500001,<1H OCEAN
52,1186,3.2645,3,175000,<1H OCEAN
52,1135,3.1765,3,225000,<1H OCEAN
52,848,2.9621,3,175000,<1H OCEAN
48,434,3.6111,3,450000,<1H OCEAN
45,3359,3.3594,3,287500,<1H OCEAN
46,512,4.0179,3,350000,<1H OCEAN
45,1157,3.5719,3,500001,<1H OCEAN
40,777,2.3375,3,355200,<1H OCEAN
48,748,4.7019,3,411100,<1H OCEAN
50,1117,4.3667,3,405600,<1H OCEAN
52,944,3.4265,3,456900,<1H OCEAN
52,899,4.25,3,486900,<1H OCEAN
52,884,5.24,3,486400,<1H OCEAN
44,1045,3.201,3,287500,<1H OCEAN
39,870,3.1677,3,453400,<1H OCEAN
52,468,3.4286,3,474300,<1H OCEAN
25,1739,3.3989,3,485000,<1H OCEAN
16,1897,3.3725,3,375000,<1H OCEAN
21,1510,3.5573,3,500001,<1H OCEAN
52,1594,3.1766,3,225000,<1H OCEAN
52,1768,2.4722,3,500001,<1H OCEAN
52,629,7.1669,3,500001,<1H OCEAN
52,1122,3.9167,3,321600,<1H OCEAN
52,826,3.5481,3,396000,<1H OCEAN
52,768,3.7167,3,327300,<1H OCEAN
52,1164,3.2411,3,250000,<1H OCEAN
48,716,3.7167,3,385000,<1H OCEAN
52,617,5.3819,3,440900,<1H OCEAN
33,1416,2.6781,3,328800,<1H OCEAN
48,1601,3.2279,3,400000,<1H OCEAN
39,1109,3.25,3,355000,<1H OCEAN
52,921,2.9605,3,500001,<1H OCEAN
52,333,4.5192,3,446000,<1H OCEAN
52,630,5.5596,3,500001,<1H OCEAN
28,991,3.1475,3,362500,<1H OCEAN
29,1676,2.7824,3,450000,<1H OCEAN
31,1987,2.8233,3,310000,<1H OCEAN
25,1183,3.5556,3,500000,<1H OCEAN
35,1159,3.0862,3,345300,<1H OCEAN
52,671,3.825,3,278500,<1H OCEAN
48,539,4.005,3,275000,<1H OCEAN
41,1252,2.9883,3,296100,<1H OCEAN
52,832,5.0858,3,470000,<1H OCEAN
52,1121,4.0583,3,444300,<1H OCEAN
52,776,3.625,3,440900,<1H OCEAN
52,878,4.0217,3,500001,<1H OCEAN
48,728,3.3824,3,322600,<1H OCEAN
47,632,4.0625,3,295200,<1H OCEAN
48,956,3.2813,3,243600,<1H OCEAN
49,462,2.7917,3,242000,<1H OCEAN
45,946,3.3333,3,254700,<1H OCEAN
50,1724,3.0833,3,338100,<1H OCEAN
52,900,3.0707,3,417900,<1H OCEAN
47,724,5.7509,3,474100,<1H OCEAN
52,590,4.2404,3,351000,<1H OCEAN
52,526,4.4191,3,334100,<1H OCEAN
49,458,4.8958,3,333600,<1H OCEAN
40,1133,3.238,3,287500,<1H OCEAN
35,1632,3.0956,3,500001,<1H OCEAN
47,1533,2.5806,3,234100,<1H OCEAN
44,1374,2.0984,3,158000,<1H OCEAN
42,674,2.8793,3,202100,<1H OCEAN
45,1093,2.5658,3,252000,<1H OCEAN
46,905,2.8841,3,290800,<1H OCEAN
50,1130,3.1944,3,213500,<1H OCEAN
39,723,2.2725,3,140600,<1H OCEAN
52,1065,3.6435,3,195800,<1H OCEAN
52,997,2.6654,3,259400,<1H OCEAN
39,2638,2.532,3,172700,<1H OCEAN
39,1140,2.2554,3,165000,<1H OCEAN
48,953,2.3526,3,156300,<1H OCEAN
31,955,2.913,3,192500,<1H OCEAN
46,2300,2.0706,3,268500,<1H OCEAN
52,1004,3.6373,3,420000,<1H OCEAN
41,1369,2.7409,3,167100,<1H OCEAN
35,2042,2.5955,3,139700,<1H OCEAN
40,2140,2.2254,3,127100,<1H OCEAN
37,1835,1.7014,3,123200,<1H OCEAN
36,1672,1.8685,3,150700,<1H OCEAN
49,668,3.0856,3,151600,<1H OCEAN
45,713,2.1711,3,179200,<1H OCEAN
48,993,2.3214,3,139400,<1H OCEAN
45,1052,3.5161,3,157000,<1H OCEAN
38,1019,2.3687,3,146800,<1H OCEAN
43,1017,2.1078,3,133500,<1H OCEAN
37,966,3.0694,3,122200,<1H OCEAN
34,2331,2.0538,3,125800,<1H OCEAN
41,1110,2.4635,3,169400,<1H OCEAN
44,537,1.9,3,110900,<1H OCEAN
45,1312,2.5625,3,138000,<1H OCEAN
