时间,用户,星级,短评,支持数
2021-07-10 15:51:18,小先生,五星,其实真的是演员们太强了，所以时常，因为某个瞬间而感动。,36
2021-08-03 13:59:52,冷静一下,三星,看过了之后，就好平淡，失望，其实真的不必为了硬凹而硬凹,15
2021-07-09 12:52:29,佚名风,四星,电影我感觉拍的过早，因为抗疫纪录片已经足够分量了。武汉太多感人的故事，影片考验的是导演和剧本的功力，然而完成度只是走了过场。或许拍成十集的剧集更加合适，电影我是不推荐看的，但是抗疫精神我是十分赞同的，并且大力发扬。最后用钟南山院士一句话结束：中国疫苗临床无法开展了，因为国内没有病人了！感谢无数仁人志士，是你们冲在最前面，才有现今的安稳现世！,27
2021-07-26 10:22:43,khaleesi,二星,我为真实的抗疫事件感动，但是说实话，电影让我看的很不舒服。叙事内容庞大，各个故事线就略显凌乱。有时候，强行的歌颂反而画蛇添足… …希望导演编剧能懂。,9
2021-07-26 00:33:35,巧克力致死,二星,就是基本把中国机长的人马搬来硬是加了意识流 有点尬故事太散了，基本拼不起来情绪不到位,10
2021-07-09 12:15:59,摇摇七喜,五星,第一部从头哭到尾的电影，让我不禁感叹：生在中国真好！,120
2021-07-07 23:11:30,倾欢僖恋,五星,电影从开头就把我们拉到了2020年，那个最难的一年。整部电影看的真的很揪心，中间婴儿出生的那一刻，我眼泪都流出来了。中国医生，感谢你们为我们拼过命！致敬每一位英雄！,41
2021-07-10 17:03:37,呼哇呼哇嘞,五星,哭死我了(´;︵;`),30
2021-08-03 18:32:55,超级tt,四星,没有想象中那么感动，也许是真实的疫情原比电影里表现的更残酷，活着真实的比很多东西重要。,9
2021-07-06 17:33:02,假仙女,五星,武汉胜，中国胜！中国有你们了不起！,35
2021-07-08 22:04:41,月亮当空照,五星,有幸今天看了一场点映。非常感动，特别是看到大家苦中作乐跟随音乐一起跳舞时，泪如决堤。为中国人民的吃苦耐劳，乐观积极感动。谢谢为武汉奋斗过的医护人员，也谢谢大家自己。(为也子演的小妈妈表示有点小惊喜。),36
2021-07-09 03:24:16,森林土橘猫,五星,看了零点场，很好哭,33
2021-07-09 13:51:06,HikaLin,五星,还不错，一向皮的要死的老弟止不住泪。,34
2021-07-06 17:54:33,Steven,五星,中国医护人员伟大！致敬！,39
2021-07-08 00:23:29,维生素C,四星,@大光明电影院 主创见面会 就如袁泉所说的：这部影片的意义，已经超出了电影本身。参考纪录片《武汉日夜》的真实事件比较多，影片很真实、很客观、很感人。,54
2021-07-06 18:39:58,Mr_机智的王,四星,全片以小见大的方式展现了在疫情期间医护工作者不辞辛劳，舍小家为大家，时刻坚守在自己的工作岗位上为疫情胜利奉献出自己的力量，展现出了家国情怀和伟大的集体主义.张涵予和朱亚文演的真棒！,38
2021-07-09 09:59:45,童甄,四星,夜里去看的首映，比预期的好看很多，没有过分的煽情，平淡而真实的故事，不做太多的修饰美化，感动于那些真实与平凡，不是因为我泪点太低，而是感动于那些在大难面前敢于直面的向前的医生们，你们辛苦啦。随然还有些许的主旋律，但作为医生的伟大永远都不希望被辜负。,27
2021-07-26 12:26:17,byj,二星,剧情让我挺失望的，整个故事的线路让我感觉乱乱的，电影中想要把疫情期间的所有都表达出来，可是没重点反而显得整部影片很乱，高潮肯定是有的，可在我看来不算高潮，因为没有充足的铺垫，并且气氛烘托根本没有上去，本来很好的题材，却让人无法感动落泪，这已经足够让我对这个影片失望了,4
2021-07-18 12:30:49,东里半梅,三星,叙事逻辑混乱，说电影不是电影说纪录片不是纪录片,20
2021-07-12 16:21:54,Nemophilist,五星,觉得医护人员很是不容易，展现了一个个小家的悲欢离合，但一旦民心凝聚，可以创造很多奇迹，经历过苦难的民族和他的人民必能走得更远。我所不知道的艰难还有很多。,10
2021-07-22 03:50:38,清梦,三星,电影确实拍的过于模式和套路了，说几个印象深的场景吧。是好演员的共情力让这部电影有了点色彩。一直都周也无感，甚至有点脸盲，这部电影让我记住她并且发现了她的美。欧豪的演技我一直低估了，他原来演绎角色这么自然。还有子枫妹妹那一个镜头，直接把我感动哭了。,5
2021-07-09 11:03:50,贪吃的米其林,无评价,很喜欢，这是真正的中国医生,20
2021-11-27 03:54:18,一贫,三星,流水账就算了，还那么支离破碎。几个泪点也完全是因为勾起了当时的记忆。,5
2021-08-03 18:07:20,headyfun,三星,一星给武汉人民 一星给金银潭医院院长 一星给所有坚持在一线的医护人员,7
2021-07-07 21:03:51,FourQuartets,五星,当世界停摆，当未知降临，当前路不明，只有你们在奔走。复刻Covid—19的纪实性电影，可以说完全没有在煽情，而是那时候的生活写照本身太有压迫性了。隔着屏幕，深刻感受到了什么叫“英雄的城市，伟大的医护，最好的人民”。世界需要看到，也需要记录。,26
2021-07-13 11:39:53,草莓夹心小饼干,五星,五分给那段不易的时光还有所有医务人员,16
2021-07-09 03:22:17,只想摊着,五星,致敬 感动,26
2021-07-09 13:48:42,Nanyukiiiii-,五星,节奏紧凑 道具过关 演技在线 剧情完整                  仿佛一下又回到了去年疫情期间 全程泪点但没有刻意煽情 😢😢😢好看👍,41
2021-07-09 08:53:12,你吃小西瓜嘛🍉,五星,看完心里有一股空落感，因为自己也是湖北人，疫情的情况只会比电影更残酷，但是拍的真的还挺不错，特别张子枫那一段，还没有开始讲话我就绷不住，直接开始掉眼泪。,30
2021-07-09 02:58:08,贪吃的悲伤鬼,五星,太真实了，太好哭了,29
2021-07-30 01:14:16,山山,二星,寄于很高的期望，但看了后感觉一般,7
2021-07-09 12:12:42,Diana,五星,真实最动人，导演在戏剧性情节的处理上比较突兀，这种纪录式电影的煽情应该更收敛点,23
2021-07-09 12:21:17,已经注销,五星,7号看的首映，刘伟强导演拍出了无间道节奏感，情绪一直跟随镜头跌宕起伏，很戳泪点，疫情总会过去，我们也要回归正常的生活，感谢为这场疫情付出的所有人，袁泉、张涵予及朱亚文演的真不错，后两者一个湖北口音，一个港普说的很溜，PS一定要看到最后的最后，有惊喜,27
2021-07-09 12:41:53,软萌子,四星,含着泪看完，袁泉大银幕女主脸！！,20
2021-07-24 01:40:08,窈七,二星,内容框定下的命题作文，国情体制下的超级英雄，是口号响亮的新样板戏，也是贩卖泪点的卓越商人。从《中国机长》一路走来，只能说刘伟强越来越熟悉如何由真实事件借题发挥，代表政治立场完成一次政策性的规定动作。角色功能性地登场打卡，脸谱化地喊一些口号，标志性地呈现一些苦。一切细节与人物的存在下一秒都会应验他们被设计的目的，来告诉你这是一处橱窗舞台，这里存在的一切只服务于歌功颂德。众生吃力地想表现舍生忘死，却分分钟被英雄主义光环与领导的英明指挥所冲刷。泪点被指挥出现在叙事疲态的角落，以戏剧技巧刺激观众的泪腺，达成一次别有用心的讨好。世界在镜头下被压得扁平，真实的挣扎被回首政绩时的一片大好所覆盖。电影可以复刻场景，却难以再现真情，苍白的主旋律写满我们的可悲。高昂着头颅，不愿承认光环之外任何的斑驳。,3
2021-07-28 03:02:57,Justin,二星,刘伟强的这个命题作文应该是不及格的，故事极其碎片化，人物完全脸谱化，故事主线逻辑条理还不如一部纪录片来得清晰。好几部关于武汉抗疫时期的纪录片讲得都比这好。多一星给辛苦的医护。,12
2021-07-09 13:53:25,二十七,三星,平凡铸就伟大，英雄来自人民。,46
2021-07-09 02:52:40,逐南,五星,涵予哥很催泪，老戏骨了，还原武汉真实抗疫，真情实露,24
2021-07-09 12:34:29,松岛栗子,五星,多带点纸巾 带了四张反复用都碎成渣了。袁泉老师真的太美了，欧豪部分戏有一点点尬。,22
2021-08-03 14:32:53,lucky_nwang,三星,剧情没有挖掘到应有的深度，但里面的快递员小夫妇演得不错哦,5
2021-07-22 03:08:06,猪是就你读着倒,三星,感触颇深，但主旋律为何越来越不像电影？,10
2021-07-13 13:41:36,-放羊羔,四星,现在所有的安心跟放肆，都是失败跟死亡换来的。,3
2021-07-09 13:36:19,奶飚快听姐姐话,四星,真是太好哭了，想到2020年初的武汉，感觉一切都像梦一样却又是真实存在的。欧豪的角色戏份不多但是还蛮出彩的，金仔的家庭真的是被医生救回来的！尤其后面确诊时的不知所措，还有在方舱医院怕媳妇儿发现他偷偷接单生气不肯吃饭，太可爱了！最后和他媳妇儿一起抢救的平行剪辑太带感太好哭了，经历了疫情金仔也会成为一个成熟稳重有担当的爸爸。,11
2021-07-09 12:53:03,此心不减,三星,还是挺感动的，让我印象深刻的是那句出自父母都去世的孩子的话。感谢奉献的白衣天使，感谢疫情中暖心的帮助。进步都是在失败中建立起来的。,17
2021-07-09 09:08:42,屋檐下的猫,五星,很感动，拍的很好！,40
2021-07-08 01:35:19,jing_est,四星,有幸看了提前场的中国医生，又把我带回了那一年武汉突发新冠的时候。金银潭医院收治了很多新冠病人，还有来自广东上海的援鄂医疗团。那段日子是白衣天使们守护着我们。感谢那些一直坚守在第一线的医护们。,16
2021-07-09 12:13:25,蒽宇,四星,各位演员的演技是不错的，但是整部电影的剪辑稍乱，拉低了电影的质感。,6
2021-07-04 13:16:11,Hallucely,四星,武汉首映礼。首先很感动请到了张院长和张继先主任 让这部电影变得更有意义了其次  电影按时间顺序带着观众又速览了一遍整个疫情狙击战最后就想说 作为武汉人觉得电影中间还算是较为完整的反映了当时的情况，现在想起来那段日子还是很后怕很慌张 那种感觉可能没有亲身经历过很难感受到的总之经历过那段时间的大家都是不容易的 医生真的很伟大,16
2021-07-07 21:08:37,九品铲屎官,三星,感谢医务人员的付出~,23
2021-07-10 09:03:38,Billie,四星,中国机长原班人马，向我们重现了2019年新冠疫情爆发的武汉，非常感人，在很多未知年前，大家齐心协力，克服重重困难，战胜病魔，挽救了很多生命！观影期间要自备纸巾。,11
2021-07-09 02:19:52,看不到水怪,五星,看过之后出门坐地铁，恍惚间以为自己处在2020年1月份。中国伟大，医生伟大，武汉伟大。每一个众志成城的时刻都在打动我，从一开始动员就开始哭(இдஇ;),28
2021-07-07 21:02:17,印驥,四星,看了点映。虽然电影前期情绪推得有点高导致后面太饱满，但是真实故事改编的内容，依然可以看到医生的伟大、人民的伟大，子枫妹妹的小桥段让我最终没有绷住。,28
2021-07-10 01:39:34,Monica,四星,今天白天去影院看的，可能是中午11：50的场，所以观看的人不多，其实对这种剧情电影我一向是不评价的，我突然评价的原因是：是否把陶医生刻画成别一个人了，我广东人没有斩份熟食拿着个鹅腿边行边食的习惯，我观看时就吐槽了，应该说在场观看的人都出声了，陈亚文在里面有时演员表情和动作有点浮夸和表演痕迹过重，抛开这点我为文医生和张院长的扮演员折服了，去年的疫情全国人民都身有感受，英雄城市武汉经历了太多太多，真的太多～到今年疫情在国内外还未平息，世界加油吧，同时感恩感谢祖国。,14
2021-07-09 12:35:14,Mr涛先生,五星,张子枫的一句话，泪崩。,86
2021-07-22 02:30:58,舍不得睡觉的猫,三星,影片有些流水账的感觉，现实依然感动！张子枫好厉害！袁泉YYDS！,6
2021-07-09 11:58:29,一杯柠檬茶,三星,"70/100,1.去年看了《金银潭的500天》这个纪录片，今天看了以事件人物为原型的电影，前半部分拍的很好，事件的压抑紧张，全都拍出来了，几乎规避了观众所有可以挑刺的点，在参加抗疫的时候，也是女性第一个举手，细节好评。2.演员的表演上也没什么问题，张涵予袁泉易烊千玺表现得很出色，不过朱亚文的口音很出戏，粤语部分是配音，粤谱说的也很奇怪，难道没有广东男演员可以演了吗？3.拉垮的是后半部分，周也和欧豪的部分，把抗疫题材生生变成了偶像剧？？当然是比《中国机长》要好很多了。＃2021院线电影27",0
2021-10-06 11:43:48,梁威是条狗,三星,太过伟光正了，人物还是有点虚，为了赞歌而赞歌,4
2021-07-07 22:47:29,天才不讲基本法,五星,看了上海点映，狠狠被触动到了，拍的很真实，插管啊呕血啊剖宫产啊，虽然我不是学医的，但深深震撼到了，我妈也在孩子被抱出的那一刻不忍去看，她说太真实了…感谢去年那段困难时间医护人员和所有坚持在前线工作的人，正是因为有了他们，才有了现在能适当脱下口罩的生活。最后说一下各位老师们真的敬业辛苦，张涵予老师从楼梯上摔下来的那段一定很痛吧！谢谢老师们的精彩演绎呈现给大家抗疫精神！ps：朱亚文的陶医生角色也很有意思，说着拽拽的广普，严肃对待工作，苛刻指导小羊，能让观众为他插管拔管的拼劲鼓掌，也能用扑街仔让全场大笑起来，是所有压抑情绪的缓冲剂。,40
2021-07-06 18:04:06,可乐,五星,有幸参加了北京场的首映，电影很好看，中间被感动到落泪，袁泉演技好棒！,28
2021-07-07 23:29:45,快乐小逗逗,五星,一部以武汉抗疫最艰难时期医院医生真实事件 改变的电影故事。用电影艺术的形式真实的展现了全国各地医生支援武汉抗疫第一线勇士们的英雄事迹。张涵予等几位演员在里面表现的也很到位，电影整个过程让观众充满了震撼与感动。有这样的中国医生， 有这样的中国人民。相信我们最后定能取得抗疫战争的彻底胜利。,25
2021-07-07 23:49:04,ID,四星,医院发的电影票看了首映！喜欢袁泉，很有感染力，但觉得电影里最震撼的还是真实新闻录像,16
2021-07-06 22:50:20,潜溪,五星,应该是国内主旋律的巅峰了,35
2021-07-07 00:02:51,东风靳吹,五星,有了真实的故事才是最能打动我们的，每一个画面，每一个人物，每一场景，都是我们熟悉的，也是最能共情的，高度还原当年的抗疫瞬间，看到了许多我们曾经在新闻里看见的人物，不禁感慨万千，每一句台词都真实的反应了当年的情形，直戳我们内心，眼泪不由自主的掉下来，向曾经奋战在抗疫一线的英雄们致敬，你们曾经为武汉拼过命!,23
2021-07-06 21:36:03,冬泥儿,四星,新冠疫情过去一年多了，再次回望依然惊心。在本该阖家团圆的时候，一令封城，全民开始了对抗病毒的斗争，在病毒面前，没有谁比谁特殊和高贵，生命面前，什么都是分外的渺小。而在这场战役中，生命至上，是唯一原则，最感动的一句话就是文婷在回答金仔询问住院费用的时候的话：“你老婆治病的钱和生孩子的钱，国家包了！”只有国家足够有底气，才有这样的承诺和担当，我为生在种花家自豪！致敬所有的医护人员！,14
2021-07-06 18:35:56,Althea_,四星,武汉，本就是一座最英雄的城市，2020，全民抗疫，我们，赢了！影片里最戳人的恰恰是最细节的处理，谢谢用影像再一次带我们深深记忆了那段记忆的人们,10
2021-09-25 21:25:39,少年赵里昂,二星,从电影角度来说难看的稀碎，仅有一点点好感来源于对医护工作者的敬意，以及部分演员的演技，疫情期间看个新闻我都能哭，这电影愣是让我全程冷漠脸看完也是本事。有的情节刻意的令人抠地，看完我快抠出一个方舱医院。,1
2021-07-08 03:47:46,tsleave,五星,日子虽然过下去了，但是少了很多人。（袁泉一哭谁他妈忍得住眼泪啊）,33
2021-07-06 22:26:58,施华吾克,四星,适合中国人看的电影吧，虽然是讲医生，但其实是讲事件，没有描绘的很细节，真实的故事应该比电影更感动。算讲大环境的电影吧。袁泉的武汉话比张涵予的湖南口音武汉话标准。整体的电影还是会感触到大家，因为我们所有人都经历过,12
2021-07-24 16:25:26,けんちゃん,三星,…,0
2021-07-15 01:27:45,吃藕小丫,四星,看的时候想到了王源的那首歌，这世上没有真正的感同身受，我们无法真正体会当时患者面临死亡的感受，也无法真正体会奋战在一线的医生那种看不到结果的感受！中场新生儿的出生代表着希望，是那种众志成城，任何困难都无法磨灭的希望，电影的另一层我看到了在治病救人的同时人文关怀也是无比的重要，我们都是在这浩瀚宇宙中如蝼蚁般带着坚定信仰活下去的人，最后希望生活中医患之间能相互理解！,3
2021-08-14 22:32:53,Keith Lee,四星,身为武汉人，从那个时期过来的，很能体会到这样的心情，天灾人祸面前，人性体现的淋漓尽致,2
2021-07-09 12:24:45,AKOfish,五星,伟大的国家！伟大的人民！眼泪总是止不住……,28
2021-07-06 17:59:53,哇,五星,首映礼。口罩都湿了。,25
2021-07-07 21:25:37,amie-Y,四星,把镜头聚焦金银潭，群像加一线医务人员的刻画鲜活。影片的戏剧张力在与病毒短兵相接的时刻如何坚守，在理智与情感间如何与死亡抗争。。。院长张定宇（张涵予饰演）轻轻一句“我的生命在倒计时，（新生儿）的人生才刚刚开始”，接其身患渐冻症的实情，凝聚了所有医护为生的希望而战的动力源泉。。。袁泉所饰的主任如是说，疫情总会过去，生活还要继续！0707大光明点映+映后主创互动,10
2021-07-08 23:25:15,明月何时照哥谭,三星,这样单薄且充斥着解释性台词的文本，最后能够落实成这样，实属不易，前2/3真的非常有压迫感，从正片开始的第一瞬就拉着观众入戏，让观众体会到“战场”是多么的残酷，英雄也因此而伟大，后1/3可以说画风突转，上价值和煽情都非常直给，但是还是有很多地方忍不住眼泪，总的来说放低要求，值得一看,1
2021-07-09 02:20:26,井仔,五星,你们值得，你们也值得,18
2021-08-02 16:56:32,A.,三星,主旋律电影，在我们刚刚经历过这段时间后，都会有所触动吧，但是叙事结构有问题,4
2021-07-14 15:20:04,小万哥哥,三星,我很努力的想渐入哭境，但硬是没哭出来啊，我能怎么办；我知道这段去年的历史很令人惶恐，但电影拍的真的是很口号啊，并没有走心啊，我还能怎么办呢,1
2021-07-09 13:36:53,小地,五星,感谢中国，中国伟大，中国人民最棒,44
2021-07-09 04:03:34,开心起来.,五星,正式告别2020。,26
2021-07-09 12:23:53,嗯好行没问题,四星,后半部分叙事好乱…… 某条线我一直都在玩手机…更喜欢里面夹的一些真实片段 整体还可以 大场面调度挺不错滴 演技都在线 小羊医生好可爱啊 成长迅速又可怜巴巴的呜呜 🥺🥺🥺宝贝贴贴,17
2021-07-10 09:20:14,wuli粥粥,五星,很真实，很感动！把抗击疫情中，最真实的人性拍了出来！致敬武汉抗击疫情中伟大的医疗工作者们！,32
2021-07-09 13:33:17,羽墨,五星,泪点很高的我，哭湿了一张纸。真实自有万钧之力。谁能想到，疫情才过去一年呢，好像过了很久了。疫情或多或少在我身上留下了点什么，想去做更多有意义的事。电影里的个例背后，是很多很多的相似和更深的悲伤，或者是更严重的后果。很多很多人没等到第二年的春天。索性一切都过去了，感谢所有为我们拼过命的医生护士警察和其他工作人员，谢谢,24
2021-07-27 00:13:44,LEE～,五星,【190/166】感觉很棒的一部七一献礼片，《中国机长》几乎原班人马再度出演《中国医生》，其中也不乏很多的大咖友情出演。展现的是国之强大、展现的是医者仁心、展现的是中国速度……我们不仅得感谢生逢盛世，更得去感谢党的正确领导以及医之大者为国为民的那份担当……🙏🙏🙏,3
2021-07-13 12:17:17,Seamoon,三星,和儿子一起看。我们总要不断面对十字路口，这时就需要正确的方向和坚定的信念。,3
2021-07-08 22:01:27,苏烨也,五星,有幸和华西医院的医生包场看了一场电影，也许只是看电影的人里面就有驰援武汉的医护人员。看着曾经经历过的一幕幕，想着去年去武汉看疫情后的英雄城，熟悉的画面，熟悉的故事。那么多故事可以写，导演抓住了几个传承、新生、奋进的点子，还是很讨巧的。若不是旁边有个吵吵闹闹的小孩，观影体验会更好！,21
2021-09-27 19:18:07,了,三星,国家富裕是好事。子枫那段真实感动，年轻人总是沉默居多，能说的话不多，能讲的不多，但愿国泰民安，发展经济的同时，提高人民素质,0
2021-07-10 02:06:48,小羊长大了🍒,五星,记忆被拉回那个慌乱的春节，在电影里，直面了英雄的中国医生和英雄之城武汉的不易与伟大！这其中的艰辛，奉献，勇气，抉择，永远的失去，再次的获得，都值得我们了解，铭记，感念！ 小羊医生进步很大噢！钟南山院士的烧鹅好吃吗？😋,27
时间,用户,星级,短评,支持数
2022-05-28 18:42:39,不然呢。,三星,“你这个独裁者，只会用恐惧和虚伪统治大家。”,214
2022-05-17 11:27:16,凯文·史派东,二星,内地要上了，但有一说一，这部剧场版比较拉垮，影院想回血还得等好莱坞大片上。,84
2022-05-29 16:13:23,哪吒男,三星,——暗号是什么？——天赐我们自由！,174
2022-05-28 21:10:10,人造奶油,三星,最后半小时才变得有趣起来 最大收获：复习了一遍世界近代史，中国近代史。嗯 全世界无产阶级联合起来😶补充下：那个帽子……的确引起不适ps 希望是我想多了 总觉得不是什么类别动画片都要隐喻都要意味深长才显得有水平的  人疲惫的时候就想无脑笑笑哭哭 谢谢,128
2022-05-28 21:18:50,谦宝,三星,哆啦A梦和大雄他们也在为了自由而努力。,86
2022-05-28 20:41:56,或者雪,三星,结尾所有人走上街头的一幕实在是太乐观了,79
2022-05-28 13:17:10,宫唯明,三星,其实要单看的话这一部还行，但要放在《哆啦A梦》这个系列里就比较失败了。和以往对老版的改编方式如出一辙，在剧情的整体框架内进行改动，对比之下有利有弊。原版弱化了巴比和人民大众的作用，新版则加强了不少，这方面是我觉得改动较好的地方；但是新版对原版的诸多改编导致原本的笑点、剧情的合理性、甚至反派的智商都被削弱了不少，而原版对许多经典电影的致敬，在当中所表达对电影的无限热爱，在新版中基本全无，这是我觉得最可惜的地方。不过还能在影院里看到手绘的机器还是很感动的,38
2022-04-26 22:40:46,优杉,无评价,多年没看水田版了还是这么拉胯，一如既往的强行煽情和不合时宜的尴尬搞笑，以及水田版这个无论如何都要给大雄加戏让他大出风头的习惯我真是讨厌讨厌讨厌极了，不过当然，原版这一部就是藤子老师所有大长篇里我最无感的一部，水田版会更烂也是预料之中的。原版的外星人画得还挺像外星生物的，这个版本改得看着像是长了触角的三毛一样，而且原创的那段总统和姐姐的感情戏是怎么回事我不懂，确定这是亲情吗也太暧昧了。唯一的优点是中间有首插曲很有当初的武田铁矢的风格，很像是只要大家齐心协力那首。（说起来大概是自我审查了但这片真的能引进吗这剧情也太危险了吧尤其是市民们涌上街头的最后一幕）,21
2022-05-28 12:52:01,云吞老丸子,四星,最感慨的一幕是，里面自由联盟的首领（以藤子F不二雄的形象设定，贝雷帽，高领衫）送大雄他们离开，大雄问他那你呢，首领说“还会再见面的。”这一刻2022年的大雄像是发送了一封穿越时空的书信给到了1984创作这个故事的藤子老师。你看，隔了快40年，我们还在看你画的故事。,121
2022-05-28 22:16:16,Henrique Asano,三星,原来是在致敬特摄片，缺点就是没用处的角色太多，中段太啰嗦，看的略烦人,7
2022-05-28 21:03:18,男巫小叶子,四星,故事的内核今天看依然不过时。义无反顾地坚信善良、为别人着想，面对恐惧不轻易退缩，都是年少时闪闪发光的品质。此外，本片对独裁与自由的思考虽点到为止，也足以震撼人心。,52
2022-05-28 17:12:25,塔塔君Minkun,三星,故事凌乱，属于剧本家有点想法但导演没有想法。光是特摄拍电影的设置就能做得更有意思，就真的只甘于玩点别人都玩烂了的大小物体对比，做个“进击的巨人”吗？,11
2022-05-28 16:15:17,巧克力维他奶,三星,太蠢了 108分钟感觉看了两倍的量,23
2022-05-28 22:50:59,阿朽,二星,这集有些镜头怪怪的（不怎么好的那种怪，类似教材课本那种）、带孩子的慎重…也可能我想多了,30
2022-06-02 09:12:12,尖耳朵的小公举,三星,儿童剧扯上政治就是驴唇不对马嘴 两边都不讨好2022.6.1儿童节第一次去影院看哆啦A梦狠狠的失望了,7
2022-06-01 15:37:30,一條魚佔滿了河,三星,和舊版本比，大雄的人設被改編得討喜了一些，然而可惜，在這個故事裡，小夫、靜香、胖虎的高光時刻都太多了，存在感還是比他強，而舊版本的一些迷影元素也在改編中小時殆盡了。帕比在加冕儀式上的演講還是令人動容，也是因此，和其他劇場版不同，這一次的故事不僅僅是主角團五人組的勝利，而更是民智覺醒的勝利，“天賜我們自由”。,2
2022-05-29 14:34:36,二月鸟语,三星,致敬《星球大战》系列～,7
2022-05-29 20:42:04,托尼·王大拿,二星,融合星战与特摄，终究还是笔力不足，许多增补的细节全是大白话儿。,13
2022-05-30 16:09:58,JoeyLu陆柏宇,三星,还行吧，场面大节奏快,0
2022-05-31 22:34:53,王蛋清·傀,五星,"天赐我们自由，爸爸，什么是dcz？就这两句，就能明白哆啦A梦为什么能经久不衰，苛责哆啦A梦剧情低幼和简单本就是一种得不到还说酸的国产键盘侠。能把这样成人世界的硝烟和斗争用孩子们天马行空想象力世界表现出来，不用说教只用五人组的故事，你还有什么理由说他不好？为什么我这么喜欢哆啦A梦，就是因为童年有他的神奇道具陪伴，成年后又有更加深刻的理解和回忆。再次重申，不给哆啦A梦打好评的都不是我朋友，哈哈哈",73
2022-06-01 18:06:20,freshtime,三星,儿童节带娃和老妈去看。娃中途百无聊赖，老妈睡得很香。即使是哆啦A梦的童年光环，也无法掩盖剧情的拖拉。结尾是进击的巨人既视感。,1
2022-06-01 23:20:50,葛攀,三星,这种时候去看一部背景带着自由，上街，老大哥看着你的哆啦A梦，也是有点恍惚的感觉。2022北京5月疫情电影院恢复后的第一场电影。,2
2022-06-01 06:33:47,U 兔,二星,好久没有在电影院扎扎实实地睡着过了。,15
2022-05-28 14:47:29,练习曲,四星,每次看哆啦A梦都因为太过美好而想哭，有哆啦A梦陪着长大真是太好了！唯一需要吐槽的是小夫你穿着绿衣服开着绿坦克是怎么拍绿幕电影的啊hhhhh！,29
2022-05-28 15:56:30,中土剑圣塔里昂,四星,出木杉就开头结尾出场了，自由的主旨被渲染的过于肤浅，仿佛小孩子过家家喊喊口号，就能消灭独裁了。皮娜这个角色可有可无。哆啦A梦不该只有这个水平，幼稚了，打四星完全是看情怀。,23
2022-05-28 19:00:34,拥桑,二星,巨失望，越来越大人话和现实化。用抖音全球式烂梗填充元宇宙，一顿花里花俏，本质就是《星球大战》，美国用《阿波罗》怀旧太空梦，用哆啦A梦做引，拍《星球大战》，《大人国与小人国》，巨人善良与小人狭隘，宇宙跳跃，宇宙飞船大战，反战，塞的满满当当给人们，最后用和解善良的友情结尾，哦！友情与善良的确是一切的解决。,5
2022-05-31 23:43:16,有心人。,三星,——天赐我们自由——六一儿童节快乐,7
2022-05-28 13:10:46,Rabbitの胡萝卜,二星,技术大升级，动作场面确实有更大的进步了也。然后就是镜头也更讲究了，各种镜头语言的运用也刺激。但是自以为是的制作组把老版的特色全删没了，整了些不明所以的东西，自以为填了坑，其实搞得毫无逻辑，没有可看性，昏昏欲睡，模仿好莱坞大片爆米花模式，可是哆啦A梦是靠想象力与童真取胜的啊！,12
2022-05-30 08:25:08,𝔹𝕒𝕒 𝔹𝕒𝕒 𝕊𝕠𝕟𝕘,三星,是天真的童话，是“恶意的”政治隐喻与预言：愤怒的人群、开上大街的坦克、不可一世又最终绝望地跪倒在人民面前的独裁者。哆啦A梦的超长篇里有不少篇目都有类似的面向孩童的经过简化处理后浅显直白且严肃深刻的命题说理，关于人、关于自然、关于政治。自己幼年能被这样的作品启蒙真是幸福，彼时“普世价值”还是正面概念，我也天真地以为事物总会前进前进再前进。,3
2022-05-28 15:56:16,渊野边小蛋挞,一星,不幸买了国配的票，总统一句＂小夫我要进来了＂又勾起我痛苦的回忆,31
2022-05-28 18:03:39,kiki204629,四星,每当大雄绝望的大哭，哆啦A梦就是他希望的光。小夫虽然有点怂，但他确是五人组里最有创造力想象力的，从天而降的反重力坦克去参加宇宙大战；静香洗澡这个梗是没办法改变了，但她也是五人组凝聚力的体现，女性视角的细微敏感鼓励着大家；胖虎这次太威风了，拳打脚踢一顿操作猛如虎，打的敌方战舰节节溃败；大雄啊，他最大的优点就是善良吧，这是个很宝贵的优点。五人组的主心骨就是哆啦A梦了，感谢蓝胖子陪伴他们我们成长！六一快乐鸭🦆,26
2022-05-29 00:40:52,liujing1000,五星,正好上映这天儿子生日，看着儿子开心得大叫，仿佛看到了年幼时看机器猫的自己，必须好评,22
2022-05-29 23:50:13,蒋灿,四星,——天赐我们自由！——你们这帮用恐惧和虚伪来统治人民的独裁者，总有一天会受到群众的反抗！,28
2022-05-28 20:42:42,超能力小苏,三星,虽然是去年的小学生的幼稚动画电影（后排的幼儿园小朋友都看得中途退场），但是看完字幕发现皮娜的配音是mayu就又觉得赚到了耶！,6
2022-05-28 10:09:21,可爱猫猫,五星,天赐我们自由,18
