"author","title","venue","volume",'pages',"year",'type',"access","key",'doi',"ee","url"
"Martin Langhammer,Gregg Baeckler,Sergey Gribok",SpiderWeb - High Performance FPGA NoC.,IPDPS Workshops,NaN,115-118,2020,Conference and Workshop Papers,closed,conf/ipps/LanghammerBG20,10.1109/IPDPSW50202.2020.00025,https://doi.org/10.1109/IPDPSW50202.2020.00025,https://dblp.org/rec/conf/ipps/LanghammerBG20
"Julia Dominiak,Mikolaj P. Wozniak,Andrzej Romanowski,Zbigniew Chaniecki,Krzysztof Grudzien",SpiderHand - Supporting Arachnophobia Therapy Using Motion-Controlled Robotic Manipulator.,MobiQuitous,NaN,96-107,2020,Conference and Workshop Papers,closed,conf/mobiquitous/DominiakWRCG20,10.1145/3448891.3450335,https://doi.org/10.1145/3448891.3450335,https://dblp.org/rec/conf/mobiquitous/DominiakWRCG20
"Biswajit Bhowmik,Jatindra Kumar Deka,Santosh Biswas",Improving Reliability in Spidergon Network on Chip-Microprocessors.,MWSCAS,NaN,474-477,2020,Conference and Workshop Papers,closed,conf/mwscas/BhowmikDB20,10.1109/MWSCAS48704.2020.9184540,https://doi.org/10.1109/MWSCAS48704.2020.9184540,https://dblp.org/rec/conf/mwscas/BhowmikDB20
"Yukito Ueno,Ryo Nakamura,Yohei Kuga,Hiroshi Esaki",Spider - Parallelizing Longest Prefix Matching with Optimization for SIMD Instructions.,NetSoft,NaN,267-271,2020,Conference and Workshop Papers,closed,conf/netsoft/UenoNKE20,10.1109/NETSOFT48620.2020.9165306,https://doi.org/10.1109/NetSoft48620.2020.9165306,https://dblp.org/rec/conf/netsoft/UenoNKE20
"Elhadja Chaalal,Laurent Reynaud,Sidi Mohammed Senouci",A Social Spider Optimisation Algorithm for 3D Unmanned Aerial Base Stations Placement.,Networking,NaN,544-548,2020,Conference and Workshop Papers,closed,conf/networking/ChaalalRS20,NaN,https://ieeexplore.ieee.org/document/9142722,https://dblp.org/rec/conf/networking/ChaalalRS20
"Edwin Alvarez-Mamani,Lauro Enciso-Rodas,Mauricio Ayala-Rincón,José Luis Soncco-Álvarez",Parallel Social Spider Optimization Algorithms with Island Model for the Clustering Problem.,SIMBig,NaN,122-138,2020,Conference and Workshop Papers,closed,conf/simbig/Alvarez-MamaniE20,10.1007/978-3-030-76228-5_9,https://doi.org/10.1007/978-3-030-76228-5_9,https://dblp.org/rec/conf/simbig/Alvarez-MamaniE20
"Weitao Wang,Praveen Tammana,Ang Chen,T. S. Eugene Ng",Grasp the Root Causes in the Data Plane - Diagnosing Latency Problems with SpiderMon.,SOSR,NaN,55-61,2020,Conference and Workshop Papers,closed,conf/sosr/WangTCN20,10.1145/3373360.3380835,https://doi.org/10.1145/3373360.3380835,https://dblp.org/rec/conf/sosr/WangTCN20
"Aravind Machiry,Nilo Redini,Eric Camellini,Christopher Kruegel,Giovanni Vigna",SPIDER - Enabling Fast Patch Propagation In Related Software Repositories.,IEEE Symposium on Security and Privacy,NaN,1562-1579,2020,Conference and Workshop Papers,closed,conf/sp/MachiryRCKV20,10.1109/SP40000.2020.00038,https://doi.org/10.1109/SP40000.2020.00038,https://dblp.org/rec/conf/sp/MachiryRCKV20
"Niel de Beaudrap,Xiaoning Bian,Quanlong Wang",Fast and Effective Techniques for T-Count Reduction via Spider Nest Identities.,TQC,NaN,11:1-11:23,2020,Conference and Workshop Papers,open,conf/tqc/BeaudrapBW20,10.4230/LIPICS.TQC.2020.11,https://doi.org/10.4230/LIPIcs.TQC.2020.11,https://dblp.org/rec/conf/tqc/BeaudrapBW20
Cole Comfort,The ZX& calculus - A complete graphical calculus for classical circuits using spiders.,QPL,NaN,60-90,2020,Conference and Workshop Papers,open,journals/corr/abs-2004-05287,10.4204/EPTCS.340.4,https://doi.org/10.4204/EPTCS.340.4,https://dblp.org/rec/journals/corr/abs-2004-05287
"Michelle Feng,Mason A. Porter","Spatial Applications of Topological Data Analysis - Cities, Snowflakes, Random Structures, and Spiders Spinning Under the Influence.",CoRR,abs/2001.01872,NaN,2020,Informal Publications,open,journals/corr/abs-2001-01872,NaN,http://arxiv.org/abs/2001.01872,https://dblp.org/rec/journals/corr/abs-2001-01872
"Najla Akram Al-Saati,Marwa Abd-AlKareem Alabajee",Selecting Best Software Reliability Growth Models - A Social Spider Algorithm based Approach.,CoRR,abs/2001.09924,NaN,2020,Informal Publications,open,journals/corr/abs-2001-09924,NaN,https://arxiv.org/abs/2001.09924,https://dblp.org/rec/journals/corr/abs-2001-09924
"Pranav Addepalli,Eric Wu,Douglas Bossart,Christina Lin,Allistar Smith",SPIDER - Selective Plotting of Interconnected Data and Entity Relations.,CoRR,abs/2006.14416,NaN,2020,Informal Publications,open,journals/corr/abs-2006-14416,NaN,https://arxiv.org/abs/2006.14416,https://dblp.org/rec/journals/corr/abs-2006-14416
"Gersende Fort,Eric Moulines,Hoi-To Wai",Geom-SPIDER-EM - Faster Variance Reduced Stochastic Expectation Maximization for Nonconvex Finite-Sum Optimization.,CoRR,abs/2011.12392,NaN,2020,Informal Publications,open,journals/corr/abs-2011-12392,NaN,https://arxiv.org/abs/2011.12392,https://dblp.org/rec/journals/corr/abs-2011-12392
"Soh Kumabe,Takanori Maehara","r-Gathering Problems on Spiders - Hardness, FPT Algorithms, and PTASes.",CoRR,abs/2012.02981,NaN,2020,Informal Publications,open,journals/corr/abs-2012-02981,NaN,https://arxiv.org/abs/2012.02981,https://dblp.org/rec/journals/corr/abs-2012-02981
"Urvashi Prakash Shukla,Satyasai Jagannath Nanda",Designing of a Risk Assessment Model for Issuing Credit Card Using Parallel Social Spider Algorithm.,Appl. Artif. Intell.,33,191-207,2019,Journal Articles,closed,journals/aai/ShuklaN19,10.1080/08839514.2018.1537229,https://doi.org/10.1080/08839514.2018.1537229,https://dblp.org/rec/journals/aai/ShuklaN19
"Jabir Mumtaz,Zailin Guan,Lei Yue,Zhengya Wang,Saif Ullah,Mudassar Rauf",Multi-Level Planning and Scheduling for Parallel PCB Assembly Lines Using Hybrid Spider Monkey Optimization Approach.,IEEE Access,7,18685-18700,2019,Journal Articles,open,journals/access/MumtazGYWUR19,10.1109/ACCESS.2019.2895954,https://doi.org/10.1109/ACCESS.2019.2895954,https://dblp.org/rec/journals/access/MumtazGYWUR19
"Rachana Gupta,Satyasai Jagannath Nanda,Urvashi Prakash Shukla",Cloud detection in satellite images using multi-objective social spider optimization.,Appl. Soft Comput.,79,203-226,2019,Journal Articles,closed,journals/asc/GuptaNS19,10.1016/J.ASOC.2019.03.042,https://doi.org/10.1016/j.asoc.2019.03.042,https://dblp.org/rec/journals/asc/GuptaNS19
"Noémie Tardif,Charles-Étienne Therrien,Stéphane Bouchard",Re-Examining Psychological Mechanisms Underlying Virtual Reality-Based Exposure for Spider Phobia.,Cyberpsychology Behav. Soc. Netw.,22,39-45,2019,Journal Articles,closed,journals/cbsn/TardifTB19,10.1089/CYBER.2017.0711,https://doi.org/10.1089/cyber.2017.0711,https://dblp.org/rec/journals/cbsn/TardifTB19
"Geng Bai,Yufeng Ge,David Scoby,Bryan Leavitt,Vincent Stoerger,Norbert Kirchgeßner,Suat Irmak,George L. Graef,James C. Schnable,Tala Awada","NU-Spidercam - A large-scale, cable-driven, integrated sensing and robotic system for advanced phenotyping, remote sensing, and agronomic research.",Comput. Electron. Agric.,160,71-81,2019,Journal Articles,open,journals/cea/BaiGSLSKIGSA19,10.1016/J.COMPAG.2019.03.009,https://doi.org/10.1016/j.compag.2019.03.009,https://dblp.org/rec/journals/cea/BaiGSLSKIGSA19
"V. M. Arul Xavier,S. Annadurai",Chaotic social spider algorithm for load balance aware task scheduling in cloud computing.,Clust. Comput.,22,287-297,2019,Journal Articles,closed,journals/cluster/XavierA19,10.1007/S10586-018-1823-X,https://doi.org/10.1007/s10586-018-1823-x,https://dblp.org/rec/journals/cluster/XavierA19
"Lian-suo Wei,Xiancheng Hu,Yuan Guo",A routing algorithm for region division based on virtual spider web model.,EURASIP J. Wirel. Commun. Netw.,2019,108,2019,Journal Articles,open,journals/ejwcn/WeiHG19,10.1186/S13638-019-1431-3,https://doi.org/10.1186/s13638-019-1431-3,https://dblp.org/rec/journals/ejwcn/WeiHG19
"Fernando Fausto,Erik Cuevas,Oscar Maciel-Castillo,Bernardo Morales-Castañeda",A Real-Coded Optimal Sensor Deployment Scheme for Wireless Sensor Networks Based on the Social Spider Optimization Algorithm.,Int. J. Comput. Intell. Syst.,12,676-696,2019,Journal Articles,open,journals/ijcisys/FaustoCMM19,10.2991/IJCIS.D.190614.001,https://doi.org/10.2991/ijcis.d.190614.001,https://dblp.org/rec/journals/ijcisys/FaustoCMM19
"Ramani Selvanambi,Jaisankar Natarajan",Healthcare - Prediction of Breast Cancer Stage Using Social Spider-Inspired Optimization Algorithm.,Int. J. E Health Medical Commun.,10,63-85,2019,Journal Articles,closed,journals/ijehmc/SelvanambiN19,10.4018/IJEHMC.2019040104,https://doi.org/10.4018/IJEHMC.2019040104,https://dblp.org/rec/journals/ijehmc/SelvanambiN19
"S. M. Swamy,M. Marsaline Beno",Effective utilisation of cascade H-bridge multi level inverter integrate social spider optimisation for reduced total harmonics distortion.,Int. J. Manuf. Technol. Manag.,33,1-13,2019,Journal Articles,closed,journals/ijmtm/SwamyB19,10.1504/IJMTM.2019.100156,https://doi.org/10.1504/IJMTM.2019.100156,https://dblp.org/rec/journals/ijmtm/SwamyB19
"Adda Boualem,Youcef Dahmani,Cyril De Runz,Marwane Ayaida",Spiderweb strategy - application for area coverage with mobile sensor nodes in 3D wireless sensor network.,Int. J. Sens. Networks,29,121-133,2019,Journal Articles,closed,journals/ijsnet/BoualemDRA19,10.1504/IJSNET.2019.097808,https://doi.org/10.1504/IJSNET.2019.097808,https://dblp.org/rec/journals/ijsnet/BoualemDRA19
"Bogdan Mocanu,Florin Pop,Alexandra Mihaita Mocanu,Ciprian Dobre,Aniello Castiglione",Data fusion technique in SPIDER Peer-to-Peer networks in smart cities for security enhancements.,Inf. Sci.,479,607-621,2019,Journal Articles,closed,journals/isci/MocanuPMDC19,10.1016/J.INS.2018.06.070,https://doi.org/10.1016/j.ins.2018.06.070,https://dblp.org/rec/journals/isci/MocanuPMDC19
"Seungwoo Je,Yekaterina Abileva,Andrea Bianchi,Jean-Charles Bazin",A computational approach for spider web-inspired fabrication of string art.,Comput. Animat. Virtual Worlds,30,NaN,2019,Journal Articles,closed,journals/jvca/JeABB19,10.1002/CAV.1904,https://doi.org/10.1002/cav.1904,https://dblp.org/rec/journals/jvca/JeABB19
"Ravichandran Thalamala,Janet Barnabas,A. V. Reddy",A novel variant of social spider optimization using single centroid representation and enhanced mating for data clustering.,PeerJ Comput. Sci.,5,e201,2019,Journal Articles,open,journals/peerj-cs/ThalamalaBR19,10.7717/PEERJ-CS.201,https://doi.org/10.7717/peerj-cs.201,https://dblp.org/rec/journals/peerj-cs/ThalamalaBR19
"Jin-Gu Lee,Seyha Chim,Ho-Hyun Park",Energy-Efficient Cluster-Head Selection for Wireless Sensor Networks Using Sampling-Based Spider Monkey Optimization.,Sensors,19,5281,2019,Journal Articles,open,journals/sensors/LeeCP19,10.3390/S19235281,https://doi.org/10.3390/s19235281,https://dblp.org/rec/journals/sensors/LeeCP19
"Alexandre Kawano,Antonino Morassi",Detecting a Prey in a Spider Orb Web.,SIAM J. Appl. Math.,79,2506-2529,2019,Journal Articles,closed,journals/siamam/KawanoM19,10.1137/19M1262322,https://doi.org/10.1137/19M1262322,https://dblp.org/rec/journals/siamam/KawanoM19
"Rehab Ali Ibrahim,Mohamed Abd El-Aziz 0001,Diego Oliva,Erik Cuevas,Songfeng Lu",An opposition-based social spider optimization for feature selection.,Soft Comput.,23,13547-13567,2019,Journal Articles,closed,journals/soco/IbrahimEOCL19,10.1007/S00500-019-03891-X,https://doi.org/10.1007/s00500-019-03891-x,https://dblp.org/rec/journals/soco/IbrahimEOCL19
"Ahmed Talat Sahlol,Ahmed M. Abdeldaim,Aboul Ella Hassanien",Automatic acute lymphoblastic leukemia classification model using social spider optimization algorithm.,Soft Comput.,23,6345-6360,2019,Journal Articles,closed,journals/soco/SahlolAH19,10.1007/S00500-018-3288-5,https://doi.org/10.1007/s00500-018-3288-5,https://dblp.org/rec/journals/soco/SahlolAH19
"Urvashi Prakash Shukla,Satyasai Jagannath Nanda",Dynamic clustering with binary social spider algorithm for streaming dataset.,Soft Comput.,23,10717-10737,2019,Journal Articles,closed,journals/soco/ShuklaN19,10.1007/S00500-018-3627-6,https://doi.org/10.1007/s00500-018-3627-6,https://dblp.org/rec/journals/soco/ShuklaN19
Alison Peterman,Empress vs. Spider-Man - Margaret Cavendish on pure and applied mathematics.,Synth.,196,3527-3549,2019,Journal Articles,closed,journals/synthese/Peterman19,10.1007/S11229-017-1504-Y,https://doi.org/10.1007/s11229-017-1504-y,https://dblp.org/rec/journals/synthese/Peterman19
"Anthony Bonato,Thomas Lidbetter",Bounds on the burning numbers of spiders and path-forests.,Theor. Comput. Sci.,794,12-19,2019,Journal Articles,closed,journals/tcs/BonatoL19,10.1016/J.TCS.2018.05.035,https://doi.org/10.1016/j.tcs.2018.05.035,https://dblp.org/rec/journals/tcs/BonatoL19
"Chen Chen 0006,Lei Liu 0031,Tie Qiu 0001,Kun Yang 0001,Fengkui Gong,Houbing Song",ASGR - An Artificial Spider-Web-Based Geographic Routing in Heterogeneous Vehicular Networks.,IEEE Trans. Intell. Transp. Syst.,20,1604-1620,2019,Journal Articles,closed,journals/tits/ChenLQYGS19,10.1109/TITS.2018.2828025,https://doi.org/10.1109/TITS.2018.2828025,https://dblp.org/rec/journals/tits/ChenLQYGS19
"V. Muneeswaran,M. Pallikonda Rajasekaran 0001",Automatic segmentation of gallbladder using bio-inspired algorithm based on a spider web construction model.,J. Supercomput.,75,3158-3183,2019,Journal Articles,closed,journals/tjs/MuneeswaranR19,10.1007/S11227-017-2230-4,https://doi.org/10.1007/s11227-017-2230-4,https://dblp.org/rec/journals/tjs/MuneeswaranR19
"Duc A. Hoang,Amanj Khorramian,Ryuhei Uehara",Shortest Reconfiguration Sequence for Sliding Tokens on Spiders.,CIAC,NaN,262-273,2019,Conference and Workshop Papers,closed,conf/ciac/HoangKU19,10.1007/978-3-030-17402-6_22,https://doi.org/10.1007/978-3-030-17402-6_22,https://dblp.org/rec/conf/ciac/HoangKU19
Ingo Rechenberg,"Evolution, robotics and the somersaulting spider.",GECCO,NaN,1,2019,Conference and Workshop Papers,closed,conf/gecco/Rechenberg19,10.1145/3321707.3326936,https://doi.org/10.1145/3321707.3326936,https://dblp.org/rec/conf/gecco/Rechenberg19
"Mikolaj Wozniak,Julia Dominiak,Maya Malaya,Piotr Luczak,Krzysztof Grudzien,Andrzej Romanowski,Zbigniew Chaniecki,Pawel W. Wozniak",SpiderHand - towards quasi-direct interaction with unpleasant creatures using muscle-controlled robotic arm.,UbiComp/ISWC Adjunct,NaN,230-233,2019,Conference and Workshop Papers,closed,conf/huc/WozniakDMLGRCW19,10.1145/3341162.3343832,https://doi.org/10.1145/3341162.3343832,https://dblp.org/rec/conf/huc/WozniakDMLGRCW19
"Takeshi Miura,Shoshiro Hatakeyama,Masami Iwase",Development of Wheel-Spider-Inspired Hexapod Robot Realizing Walking and Rolling Locomotion.,ICCMA,NaN,174-178,2019,Conference and Workshop Papers,closed,conf/iccma/MiuraHI19,10.1109/ICCMA46720.2019.8988636,https://doi.org/10.1109/ICCMA46720.2019.8988636,https://dblp.org/rec/conf/iccma/MiuraHI19
"Yu-Ting Su,Ming-Che Chung,Tzuu-Hseng S. Li",Design of Fuzzy Control for Nonlinear System based on Improved Social Spider Optimal Algorithm.,iFUZZY,NaN,237-242,2019,Conference and Workshop Papers,closed,conf/ifuzzy/SuCL19,10.1109/IFUZZY46984.2019.9066265,https://doi.org/10.1109/iFUZZY46984.2019.9066265,https://dblp.org/rec/conf/ifuzzy/SuCL19
"Jacob Kritikos,Stavroula Poulopoulou,Chara Zoitaki,Marilina Douloudi,Dimitris Koutsouris",Full Body Immersive Virtual Reality System with Motion Recognition Camera Targeting the Treatment of Spider Phobia.,MindCare,NaN,216-230,2019,Conference and Workshop Papers,closed,conf/mindcare/KritikosPZDK19,10.1007/978-3-030-25872-6_18,https://doi.org/10.1007/978-3-030-25872-6_18,https://dblp.org/rec/conf/mindcare/KritikosPZDK19
"Zhe Wang 0021,Kaiyi Ji,Yi Zhou,Yingbin Liang,Vahid Tarokh",SpiderBoost and Momentum - Faster Variance Reduction Algorithms.,NeurIPS,NaN,2403-2413,2019,Conference and Workshop Papers,open,conf/nips/WangJZLT19,NaN,https://proceedings.neurips.cc/paper/2019/hash/512c5cad6c37edb98ae91c8a76c3a291-Abstract.html,https://dblp.org/rec/conf/nips/WangJZLT19
"Amal Alabdulkarim,Tariq Alhindi",Spider-Jerusalem at SemEval-2019 Task 4 - Hyperpartisan News Detection.,SemEval@NAACL-HLT,NaN,985-989,2019,Conference and Workshop Papers,open,conf/semeval/AlabdulkarimA19,10.18653/V1/S19-2170,https://doi.org/10.18653/v1/s19-2170,https://dblp.org/rec/conf/semeval/AlabdulkarimA19
David Santiago,Procedural system assisted authoring of open-world content for Marvel's Spider-Man.,SIGGRAPH Talks,NaN,29:1-29:2,2019,Conference and Workshop Papers,closed,conf/siggraph/Santiago19,10.1145/3306307.3328158,https://doi.org/10.1145/3306307.3328158,https://dblp.org/rec/conf/siggraph/Santiago19
"Apoorva Sharma,Nirmala Sharma,Harish Sharma,Jagdish Chand Bansal",Exponential Adaptive Strategy in Spider Monkey Optimization Algorithm.,SocProS,NaN,1-15,2019,Conference and Workshop Papers,closed,conf/socpros/SharmaSSB19,10.1007/978-981-15-3287-0_1,https://doi.org/10.1007/978-981-15-3287-0_1,https://dblp.org/rec/conf/socpros/SharmaSSB19
"Massimo Bernaschi,Alessandro Celestini,Stefano Guarino,Flavio Lombardi,Enrico Mastrostefano",Spiders like Onions - on the Network of Tor Hidden Services.,WWW,NaN,105-115,2019,Conference and Workshop Papers,closed,conf/www/BernaschiCGLM19,10.1145/3308558.3313687,https://doi.org/10.1145/3308558.3313687,https://dblp.org/rec/conf/www/BernaschiCGLM19
"Soh Kumabe,Takanori Maehara",r-Gather Clustering and r-Gathering on Spider - FPT Algorithms and Hardness.,CoRR,abs/1907.04088,NaN,2019,Informal Publications,open,journals/corr/abs-1907-04088,NaN,http://arxiv.org/abs/1907.04088,https://dblp.org/rec/journals/corr/abs-1907-04088
"Taoxing Pan,Jun Liu 0003,Jie Wang 0005",D-SPIDER-SFO - A Decentralized Optimization Algorithm with Faster Convergence Rate for Nonconvex Problems.,CoRR,abs/1911.12665,NaN,2019,Informal Publications,open,journals/corr/abs-1911-12665,NaN,http://arxiv.org/abs/1911.12665,https://dblp.org/rec/journals/corr/abs-1911-12665
"Pranay Sharma,Prashant Khanduri,Saikiran Bulusu,Ketan Rajawat,Pramod K. Varshney",Parallel Restarted SPIDER - Communication Efficient Distributed Nonconvex Optimization with Optimal Computation Complexity.,CoRR,abs/1912.06036,NaN,2019,Informal Publications,open,journals/corr/abs-1912-06036,NaN,http://arxiv.org/abs/1912.06036,https://dblp.org/rec/journals/corr/abs-1912-06036
"Celestine Iwendi,Mueen Uddin,James Adu Ansere,Pascal Nkurunziza,Joseph Henry Anajemba,Ali Kashif Bashir",On Detection of Sybil Attack in Large-Scale VANETs Using Spider-Monkey Technique.,IEEE Access,6,47258-47267,2018,Journal Articles,open,journals/access/IwendiUANAB18,10.1109/ACCESS.2018.2864111,https://doi.org/10.1109/ACCESS.2018.2864111,https://dblp.org/rec/journals/access/IwendiUANAB18
Minghui Jiang 0001,"Trees, Paths, Stars, Caterpillars and Spiders.",Algorithmica,80,1964-1982,2018,Journal Articles,closed,journals/algorithmica/Jiang18,10.1007/S00453-016-0237-5,https://doi.org/10.1007/s00453-016-0237-5,https://dblp.org/rec/journals/algorithmica/Jiang18
"Adam Gilbert,Gary Tiner",On the Erdos-Sos Conjecture for spiders in graphs having no path with 2k+1 vertices.,Ars Comb.,139,297-313,2018,Journal Articles,unavailable,journals/arscom/GilbertT18,NaN,NaN,https://dblp.org/rec/journals/arscom/GilbertT18
"Ryota Matsubara,Haruhide Matsuda,Hajime Matsumura",A spanning k-spider in a graph.,Ars Comb.,136,247-253,2018,Journal Articles,unavailable,journals/arscom/MatsubaraMM18,NaN,NaN,https://dblp.org/rec/journals/arscom/MatsubaraMM18
"Andrew S. French,Keram Pfeiffer",Nonlinearization - naturalistic stimulation and nonlinear dynamic behavior in a spider mechanoreceptor.,Biol. Cybern.,112,403-413,2018,Journal Articles,closed,journals/bc/FrenchP18,10.1007/S00422-018-0763-0,https://doi.org/10.1007/s00422-018-0763-0,https://dblp.org/rec/journals/bc/FrenchP18
"Sandy S. Pineda,Pierre-Alain Chaumeil,Anne Kunert,Quentin Kaas,Mike W. C. Thang,Lien Le,Michael Nuhn,Volker Herzig,Natalie J. Saez,Ben Cristofori-Armstrong,Raveendra Anangi,Sebastian Senff,Dominique Gorse,Glenn F. King","ArachnoServer 3.0 - an online resource for automated discovery, analysis and annotation of spider toxins.",Bioinform.,34,1074-1076,2018,Journal Articles,closed,journals/bioinformatics/PinedaCKKTLNHSC18,10.1093/BIOINFORMATICS/BTX661,https://doi.org/10.1093/bioinformatics/btx661,https://dblp.org/rec/journals/bioinformatics/PinedaCKKTLNHSC18
"Guanghui Zhang,Keyi Xing",Memetic social spider optimization algorithm for scheduling two-stage assembly flowshop in a distributed environment.,Comput. Ind. Eng.,125,423-433,2018,Journal Articles,closed,journals/candie/ZhangX18,10.1016/J.CIE.2018.09.007,https://doi.org/10.1016/j.cie.2018.09.007,https://dblp.org/rec/journals/candie/ZhangX18
"Kyohei Nakada,Kenjiro Ogawa,Satoshi Tagusari,Morimasa Tsuchiya",Note on p-competition graphs of spiders.,Discret. Math. Algorithms Appl.,10,1850084:1-1850084:7,2018,Journal Articles,closed,journals/dmaa/NakadaOTT18,10.1142/S1793830918500842,https://doi.org/10.1142/S1793830918500842,https://dblp.org/rec/journals/dmaa/NakadaOTT18
"Urvashi Prakash Shukla,Satyasai Jagannath Nanda",A Binary Social Spider Optimization algorithm for unsupervised band selection in compressed hyperspectral images.,Expert Syst. Appl.,97,336-356,2018,Journal Articles,closed,journals/eswa/ShuklaN18,10.1016/J.ESWA.2017.12.034,https://doi.org/10.1016/j.eswa.2017.12.034,https://dblp.org/rec/journals/eswa/ShuklaN18
"Prabhat R. Singh,Mohamed Abd El-Aziz 0001,Shengwu Xiong",Modified Spider Monkey Optimization based on Nelder-Mead method for global optimization.,Expert Syst. Appl.,110,264-289,2018,Journal Articles,closed,journals/eswa/SinghEX18,10.1016/J.ESWA.2018.05.040,https://doi.org/10.1016/j.eswa.2018.05.040,https://dblp.org/rec/journals/eswa/SinghEX18
"Madhuri Rao,Narendra Kumar Kamila",Spider monkey optimisation based energy efficient clustering in heterogeneous underwater wireless sensor networks.,Int. J. Ad Hoc Ubiquitous Comput.,29,50-63,2018,Journal Articles,closed,journals/ijahuc/RaoK18,10.1504/IJAHUC.2018.10015650,https://doi.org/10.1504/IJAHUC.2018.10015650,https://dblp.org/rec/journals/ijahuc/RaoK18
"Mohamed Amine Boudia,Reda Mohamed Hamou,Abdelmalek Amine",Comparative Study Between Two Swarm Intelligence Automatic Text Summaries - Social Spiders vs Social Bees.,Int. J. Appl. Metaheuristic Comput.,9,15-39,2018,Journal Articles,closed,journals/ijamc-igi/BoudiaHA18,10.4018/IJAMC.2018010102,https://doi.org/10.4018/IJAMC.2018010102,https://dblp.org/rec/journals/ijamc-igi/BoudiaHA18
"Voruganti Hindumathi,Katta Rama Linga Reddy",Delay aware optimal resource allocation in MU MIMO-OFDM using enhanced spider monkey optimization.,Int. J. Commun. Networks Inf. Secur.,10,NaN,2018,Journal Articles,open,journals/ijcnis/HindumathiR18,NaN,http://www.ijcnis.org/index.php/ijcnis/article/view/3102,https://dblp.org/rec/journals/ijcnis/HindumathiR18
"Guo Zhou,Ruixin Zhao,Yongquan Zhou",Solving large-scale 0-1 knapsack problem by the social-spider optimisation algorithm.,Int. J. Comput. Sci. Math.,9,433-441,2018,Journal Articles,closed,journals/ijcsm/ZhouZZ18,10.1504/IJCSM.2018.10016491,https://doi.org/10.1504/IJCSM.2018.10016491,https://dblp.org/rec/journals/ijcsm/ZhouZZ18
"Ramani Selvanambi,Jaisankar Natarajan",Exploration on predicting breast cancer stage with the aid of redesigned ANN incorporated with enhanced social spider optimisation technique.,Int. J. Intell. Syst. Technol. Appl.,17,397-414,2018,Journal Articles,closed,journals/ijista/SelvanambiN18,10.1504/IJISTA.2018.10015318,https://doi.org/10.1504/IJISTA.2018.10015318,https://dblp.org/rec/journals/ijista/SelvanambiN18
"Liang Wang 0006,Wen Cheng,Lijia Pan,Tao Gu,Tianheng Wu,Xianping Tao,Jian Lu 0001",SpiderWalk - Circumstance-aware Transportation Activity Detection Using a Novel Contact Vibration Sensor.,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,2,42:1-42:30,2018,Journal Articles,closed,journals/imwut/WangCPGWTL18,10.1145/3191774,https://doi.org/10.1145/3191774,https://dblp.org/rec/journals/imwut/WangCPGWTL18
"Evangelos Bampas,Christina Karousatou,Aris Pagourtzis,Katerina Potika",Path multicoloring in spider graphs with even color multiplicity.,Inf. Process. Lett.,133,1-4,2018,Journal Articles,closed,journals/ipl/BampasKPP18,10.1016/J.IPL.2017.12.009,https://doi.org/10.1016/j.ipl.2017.12.009,https://dblp.org/rec/journals/ipl/BampasKPP18
"Ahmed Ali Mundeth,Jasmin Erakkath Abdu",A Novel Pilot Decontamination Method for Massive MIMO Systems Using Social Spider Optimization Algorithm.,J. Commun.,13,145-154,2018,Journal Articles,closed,journals/jcm/MundethA18,10.12720/JCM.13.4.145-154,https://doi.org/10.12720/jcm.13.4.145-154,https://dblp.org/rec/journals/jcm/MundethA18
"Gem Stapleton,Lopamudra Choudhury,Mihir K. Chakraborty",Spider Diagrams with Absence - Inference Rules for Clutter Reduction.,J. Vis. Lang. Sentient Syst.,4,20-37,2018,Journal Articles,open,journals/jvlc/StapletonCC18,NaN,http://ksiresearch.org/vlss/journal/VLSS2018/paper%2032.pdf,https://dblp.org/rec/journals/jvlc/StapletonCC18
"Mohamed Abd El Aziz 0001,Aboul Ella Hassanien",An improved social spider optimization algorithm based on rough sets for solving minimum number attribute reduction problem.,Neural Comput. Appl.,30,2441-2452,2018,Journal Articles,closed,journals/nca/AzizH18a,10.1007/S00521-016-2804-8,https://doi.org/10.1007/s00521-016-2804-8,https://dblp.org/rec/journals/nca/AzizH18a
"Yongquan Zhou,Ruxin Zhao,Qifang Luo,Chunming Wen",Sensor Deployment Scheme Based on Social Spider Optimization Algorithm for Wireless Sensor Networks.,Neural Process. Lett.,48,71-94,2018,Journal Articles,closed,journals/npl/ZhouZLW18,10.1007/S11063-017-9701-8,https://doi.org/10.1007/s11063-017-9701-8,https://dblp.org/rec/journals/npl/ZhouZLW18
"Vani Agrawal,Ratika Rastogi,D. C. Tiwari",Spider Monkey Optimization - a survey.,Int. J. Syst. Assur. Eng. Manag.,9,929-941,2018,Journal Articles,closed,journals/saem/AgrawalRT18,10.1007/S13198-017-0685-6,https://doi.org/10.1007/s13198-017-0685-6,https://dblp.org/rec/journals/saem/AgrawalRT18
"Dharmendra Prasad Mahato,Ravi Shankar Singh",On maximizing reliability of grid transaction processing system considering balanced task allocation using social spider optimization.,Swarm Evol. Comput.,38,202-217,2018,Journal Articles,closed,journals/swevo/MahatoS18,10.1016/J.SWEVO.2017.07.011,https://doi.org/10.1016/j.swevo.2017.07.011,https://dblp.org/rec/journals/swevo/MahatoS18
