,totalprice,houseinfo,followinfo
372,875,2室1厅 | 77.02平米 | 南 北 | 精装 | 中楼层(共15层) | 2006年建 | 塔楼,70人关注 / 19天以前发布
373,449,3室1厅 | 89.55平米 | 南 | 简装 | 6层 | 2011年建 | 板楼,37人关注 / 26天以前发布
374,680,2室1厅 | 48.8平米 | 西 北 | 简装 | 底层(共6层)  | 板楼,16人关注 / 26天以前发布
375,455,3室1厅 | 90.62平米 | 东 南 北 | 简装 | 顶层(共28层) | 2009年建 | 板塔结合,57人关注 / 26天以前发布
376,229,1室1厅 | 39.44平米 | 西 | 精装 | 底层(共6层)  | 板楼,50人关注 / 26天以前发布
377,285,1室1厅 | 56.99平米 | 南 | 精装 | 低楼层(共28层) | 2011年建 | 板塔结合,13人关注 / 19天以前发布
378,668,2室1厅 | 92.13平米 | 东南 | 简装 | 28层 | 2007年建 | 板塔结合,16人关注 / 25天以前发布
379,340,2室1厅 | 69.53平米 | 东 | 简装 | 底层(共18层) | 2010年建 | 板楼,22人关注 / 19天以前发布
380,230,2室1厅 | 59.4平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,31人关注 / 20天以前发布
381,329,2室1厅 | 56.86平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 25天以前发布
382,599,2室1厅 | 56.1平米 | 南 东 | 精装 | 中楼层(共6层)  | 板楼,119人关注 / 27天以前发布
383,408,3室1厅 | 136.27平米 | 南 北 | 精装 | 6层 | 2011年建 | 板塔结合,15人关注 / 22天以前发布
384,996,2室1厅 | 95.81平米 | 东 西 北 | 精装 | 顶层(共19层) | 2012年建 | 板塔结合,19人关注 / 21天以前发布
385,299,3室1厅 | 88.82平米 | 南 北 | 简装 | 高楼层(共15层) | 2012年建 | 板楼,26人关注 / 27天以前发布
386,720,2室1厅 | 82.44平米 | 南 | 精装 | 中楼层(共12层) | 2009年建 | 塔楼,44人关注 / 16天以前发布
387,359,2室1厅 | 68.07平米 | 南 北 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,34人关注 / 23天以前发布
388,233,2室1厅 | 49平米 | 南 北 | 简装 | 中楼层(共6层) | 1977年建 | 板楼,45人关注 / 29天以前发布
389,365,2室1厅 | 75.6平米 | 南 北 | 精装 | 底层(共6层) | 1998年建 | 板楼,48人关注 / 28天以前发布
390,376,2室1厅 | 88.78平米 | 南 | 精装 | 低楼层(共26层) | 2014年建 | 板楼,34人关注 / 28天以前发布
391,996,2室1厅 | 95.81平米 | 东 西 北 | 精装 | 顶层(共19层) | 2012年建 | 板塔结合,19人关注 / 21天以前发布
392,305,2室1厅 | 89.99平米 | 西 | 精装 | 高楼层(共22层) | 2008年建 | 板塔结合,28人关注 / 18天以前发布
393,735,2室1厅 | 115.19平米 | 西北 | 精装 | 25层 | 2007年建 | 塔楼,16人关注 / 21天以前发布
394,440,2室1厅 | 91.55平米 | 南 北 | 简装 | 中楼层(共12层) | 2003年建 | 板楼,20人关注 / 26天以前发布
395,565,3室1厅 | 104.01平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,38人关注 / 30天以前发布
396,730,2室1厅 | 70.03平米 | 东 | 精装 | 低楼层(共16层) | 2008年建 | 塔楼,41人关注 / 19天以前发布
397,610,1室1厅 | 71.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 24天以前发布
398,705,2室1厅 | 79.26平米 | 东 西 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,29人关注 / 24天以前发布
399,484,2室1厅 | 91.29平米 | 东 南 北 | 简装 | 23层 | 2007年建 | 塔楼,19人关注 / 27天以前发布
400,233,2室1厅 | 49平米 | 南 北 | 简装 | 中楼层(共6层) | 1977年建 | 板楼,45人关注 / 29天以前发布
401,408,3室1厅 | 136.27平米 | 南 北 | 精装 | 6层 | 2011年建 | 板塔结合,15人关注 / 22天以前发布
402,299,3室1厅 | 88.82平米 | 南 北 | 简装 | 高楼层(共15层) | 2012年建 | 板楼,26人关注 / 27天以前发布
403,530,1室1厅 | 71.2平米 | 南 | 简装 | 高楼层(共18层) | 2004年建 | 塔楼,52人关注 / 23天以前发布
404,330,1室1厅 | 46.82平米 | 东南 | 简装 | 低楼层(共13层) | 1992年建 | 板塔结合,56人关注 / 27天以前发布
405,580,2室1厅 | 65.35平米 | 南 北 | 简装 | 中楼层(共14层) | 1989年建 | 板塔结合,35人关注 / 26天以前发布
406,1750,3室1厅 | 191.07平米 | 东 南 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,55人关注 / 24天以前发布
407,558,3室1厅 | 74.9平米 | 南 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,22人关注 / 26天以前发布
408,599,2室1厅 | 56.1平米 | 南 东 | 精装 | 中楼层(共6层)  | 板楼,119人关注 / 27天以前发布
409,339,2室1厅 | 59.25平米 | 南 北 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,33人关注 / 22天以前发布
410,1125,2室1厅 | 106.55平米 | 南 | 精装 | 低楼层(共17层) | 2005年建 | 板塔结合,54人关注 / 28天以前发布
411,248,2室1厅 | 60.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,59人关注 / 16天以前发布
412,390,2室1厅 | 66.36平米 | 东 北 | 简装 | 高楼层(共18层) | 1998年建 | 塔楼,32人关注 / 22天以前发布
413,388,2室1厅 | 79.07平米 | 南 北 | 简装 | 中楼层(共16层) | 2004年建 | 板楼,344人关注 / 18天以前发布
414,195,2室1厅 | 47.31平米 | 南 北 | 简装 | 顶层(共5层) | 1980年建 | 板楼,7人关注 / 19天以前发布
415,593,2室1厅 | 59.8平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,37人关注 / 27天以前发布
416,970,2室1厅 | 88.88平米 | 南 | 精装 | 28层 | 2004年建 | 塔楼,62人关注 / 24天以前发布
417,499,2室1厅 | 86.8平米 | 西南 | 简装 | 高楼层(共15层) | 2003年建 | 塔楼,54人关注 / 23天以前发布
418,369.9,2室1厅 | 81.16平米 | 西南 | 简装 | 高楼层(共14层) | 2007年建 | 板楼,34人关注 / 28天以前发布
419,628,4室2厅 | 162.7平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,150人关注 / 4个月以前发布
420,628,4室2厅 | 162.7平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,150人关注 / 4个月以前发布
421,1090,5室3厅 | 359.42平米 | 南 北 | 精装 | 3层  | 板楼,117人关注 / 10个月以前发布
422,665,5室3厅 | 242.68平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2000年建 | 板楼,95人关注 / 一年前发布
423,1318,3室1厅 | 84.92平米 | 西 南 | 简装 | 高楼层(共19层) | 2005年建 | 塔楼,14人关注 / 2个月以前发布
424,595,3室2厅 | 127.05平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,41人关注 / 2个月以前发布
425,930,3室1厅 | 139.58平米 | 南 北 | 简装 | 低楼层(共25层) | 2000年建 | 塔楼,115人关注 / 2个月以前发布
426,1415,4室2厅 | 177.67平米 | 南 北 | 精装 | 低楼层(共25层) | 2015年建 | 板塔结合,83人关注 / 2个月以前发布
427,840,3室2厅 | 145.87平米 | 南 北 | 精装 | 底层(共16层) | 2009年建 | 板楼,45人关注 / 1个月以前发布
428,1278,3室2厅 | 122.52平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,145人关注 / 3个月以前发布
429,2300,4室1厅 | 211.64平米 | 南 西 | 精装 | 中楼层(共31层) | 2005年建 | 板塔结合,60人关注 / 1个月以前发布
430,1320,3室1厅 | 143.83平米 | 南 北 | 精装 | 中楼层(共28层) | 2006年建 | 板楼,106人关注 / 5个月以前发布
431,730,3室2厅 | 152.34平米 | 东 南 北 | 毛坯 | 底层(共20层) | 2001年建 | 板塔结合,39人关注 / 2个月以前发布
432,210,4室2厅 | 123.4平米 | 南 北 | 精装 | 16层 | 2016年建 | 板楼,49人关注 / 2个月以前发布
433,725,3室2厅 | 141.74平米 | 南 北 | 精装 | 17层 | 2014年建 | 板塔结合,22人关注 / 2个月以前发布
434,1030,4室1厅 | 142.63平米 | 南 北 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,73人关注 / 4个月以前发布
435,440,5室2厅 | 181.34平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,20人关注 / 7个月以前发布
436,488,3室1厅 | 80.3平米 | 东南 | 精装 | 中楼层(共24层)  | 板塔结合,107人关注 / 2个月以前发布
437,769,3室2厅 | 189.6平米 | 南 北 | 精装 | 中楼层(共10层) | 2009年建 | 板塔结合,29人关注 / 3个月以前发布
438,918,3室2厅 | 131.78平米 | 东南 | 简装 | 29层 | 2001年建 | 塔楼,67人关注 / 7个月以前发布
439,262,3室1厅 | 77.24平米 | 西 南 北 | 精装 | 中楼层(共12层) | 2015年建 | 板楼,68人关注 / 3个月以前发布
440,1150,3室2厅 | 158.57平米 | 南 北 | 简装 | 中楼层(共16层) | 2001年建 | 板楼,26人关注 / 2个月以前发布
441,920,3室1厅 | 161.43平米 | 西 南 西南 | 简装 | 24层 | 2002年建 | 塔楼,69人关注 / 1个月以前发布
442,403,2室1厅 | 56.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,90人关注 / 1个月以前发布
443,419,3室2厅 | 158.23平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,96人关注 / 3个月以前发布
444,820,3室2厅 | 133.89平米 | 西 南 北 | 精装 | 中楼层(共15层) | 2017年建 | 板楼,34人关注 / 1个月以前发布
445,1435,3室1厅 | 142.07平米 | 南 北 | 简装 | 中楼层(共14层) | 2006年建 | 板楼,37人关注 / 5个月以前发布
446,620,3室1厅 | 147.62平米 | 南 北 | 精装 | 中楼层(共9层) | 2008年建 | 板楼,84人关注 / 5个月以前发布
447,1558,3室2厅 | 165.28平米 | 西南 | 简装 | 中楼层(共11层) | 2002年建 | 塔楼,94人关注 / 4个月以前发布
448,1620,4室1厅 | 232.46平米 | 南 北 | 简装 | 低楼层(共14层)  | 板塔结合,50人关注 / 1个月以前发布
449,709,3室1厅 | 121.78平米 | 南 北 | 精装 | 中楼层(共4层) | 2008年建 | 板楼,11人关注 / 16天以前发布
450,1620,4室1厅 | 232.46平米 | 南 北 | 简装 | 低楼层(共14层)  | 板塔结合,50人关注 / 1个月以前发布
451,296,4室2厅 | 132.98平米 | 南 北 | 精装 | 7层  | 板楼,6人关注 / 1个月以前发布
452,420,3室1厅 | 127.46平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,37人关注 / 3个月以前发布
453,620,3室1厅 | 147.62平米 | 南 北 | 精装 | 中楼层(共9层) | 2008年建 | 板楼,84人关注 / 5个月以前发布
454,709,3室1厅 | 121.78平米 | 南 北 | 精装 | 中楼层(共4层) | 2008年建 | 板楼,11人关注 / 16天以前发布
455,1460,3室2厅 | 174.08平米 | 南 北 | 简装 | 低楼层(共13层) | 2000年建 | 板楼,15人关注 / 1个月以前发布
456,390,3室1厅 | 79.67平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,74人关注 / 2个月以前发布
457,979.9,5室3厅 | 178.2平米 | 南 北 | 简装 | 2层  | 板楼 | 独栋别墅 ,146人关注 / 5个月以前发布
458,689,3室2厅 | 160.16平米 | 东 南 北 | 毛坯 | 底层(共11层) | 2008年建 | 板楼,37人关注 / 一年前发布
459,553,3室2厅 | 134.5平米 | 南 北 | 精装 | 6层 | 2000年建 | 板楼,59人关注 / 3个月以前发布
460,870,4室2厅 | 260.07平米 | 南 北 | 精装 | 底层(共6层) | 2014年建 | 板楼,38人关注 / 1个月以前发布
461,1400,4室1厅 | 233.33平米 | 东南 北 | 精装 | 中楼层(共32层) | 2005年建 | 塔楼,88人关注 / 4个月以前发布
462,1029,3室1厅 | 78.8平米 | 东 西 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,61人关注 / 1个月以前发布
463,1210,4室2厅 | 92.2平米 | 南 北 | 精装 | 底层(共5层) | 2018年建 | 板楼,79人关注 / 7个月以前发布
464,328,3室1厅 | 127.73平米 | 南 北 | 简装 | 底层(共6层) | 2004年建 | 板楼,19人关注 / 1个月以前发布
465,496,4室3厅 | 101.35平米 | 南 北 | 精装 | 3层 | 2017年建 | 板楼,82人关注 / 5个月以前发布
466,927,4室2厅 | 281.64平米 | 南 北 | 精装 | 2层 | 2012年建 | 板楼,142人关注 / 2个月以前发布
467,1545,3室1厅 | 140.64平米 | 东南 | 精装 | 高楼层(共21层) | 2005年建 | 塔楼,78人关注 / 2个月以前发布
468,400,3室2厅 | 141.46平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,91人关注 / 7个月以前发布
469,399,4室2厅 | 244.77平米 | 南 北 | 毛坯 | 3层 | 2018年建 | 板楼,54人关注 / 5个月以前发布
470,550,3室1厅 | 142.63平米 | 东南 | 精装 | 中楼层(共29层) | 2004年建 | 塔楼,26人关注 / 3个月以前发布
471,366,3室2厅 | 167.67平米 | 南 北 | 简装 | 13层 | 2002年建 | 板塔结合,52人关注 / 4个月以前发布
472,516,4室2厅 | 136.21平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,62人关注 / 3个月以前发布
473,1360,2室2厅 | 147.89平米 | 东 南 北 | 精装 | 顶层(共18层) | 2011年建 | 板楼,173人关注 / 4个月以前发布
474,769,3室2厅 | 128.19平米 | 南 北 | 精装 | 中楼层(共28层) | 2010年建 | 板塔结合,139人关注 / 3个月以前发布
475,820,3室2厅 | 130.66平米 | 南 北 | 精装 | 27层 | 2015年建 | 板楼,43人关注 / 1个月以前发布
476,815,2室1厅 | 97.21平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,85人关注 / 1个月以前发布
477,1255,3室2厅 | 155.81平米 | 南 北 | 简装 | 低楼层(共28层) | 2006年建 | 板楼,58人关注 / 1个月以前发布
478,448,2室1厅 | 94.92平米 | 南 北 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,16人关注 / 2个月以前发布
479,245,4室1厅 | 142.99平米 | 南 北 | 精装 | 6层 | 2014年建 | 板楼,78人关注 / 3个月以前发布
480,1790,4室2厅 | 277.96平米 | 南 北 | 精装 | 低楼层(共31层) | 2015年建 | 板楼,67人关注 / 4个月以前发布
481,890,5室2厅 | 162.74平米 | 南 东 | 精装 | 低楼层(共22层) | 1996年建 | 塔楼,125人关注 / 10个月以前发布
482,1350,3室2厅 | 231.37平米 | 南 北 | 精装 | 4层 | 2014年建 | 板楼,20人关注 / 8个月以前发布
483,533,3室1厅 | 134.95平米 | 南 北 | 精装 | 7层 | 2002年建 | 板楼,43人关注 / 2个月以前发布
484,366,3室2厅 | 167.67平米 | 南 北 | 简装 | 13层 | 2002年建 | 板塔结合,52人关注 / 4个月以前发布
485,699,4室1厅 | 183.25平米 | 南 北 | 简装 | 高楼层(共12层) | 2004年建 | 板楼,35人关注 / 1个月以前发布
486,850,3室2厅 | 116.32平米 | 北 南 | 简装 | 底层(共9层)  | 板塔结合,41人关注 / 4个月以前发布
487,585,3室2厅 | 122.54平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,11人关注 / 1个月以前发布
488,230,3室2厅 | 133.18平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 1个月以前发布
489,660,3室2厅 | 141.45平米 | 南 西北 | 毛坯 | 顶层(共20层) | 2004年建 | 塔楼,56人关注 / 2个月以前发布
490,245,4室1厅 | 142.99平米 | 南 北 | 精装 | 6层 | 2014年建 | 板楼,78人关注 / 3个月以前发布
491,1950,3室2厅 | 171.38平米 | 东 西 | 精装 | 顶层(共13层) | 2016年建 | 平房,75人关注 / 2个月以前发布
492,1280,3室2厅 | 163.85平米 | 东 西 | 简装 | 高楼层(共22层) | 2003年建 | 板楼,16人关注 / 1个月以前发布
493,575,3室2厅 | 142.09平米 | 南 北 | 精装 | 高楼层(共13层) | 2004年建 | 板楼,22人关注 / 2个月以前发布
494,1255,3室2厅 | 155.81平米 | 南 北 | 简装 | 低楼层(共28层) | 2006年建 | 板楼,58人关注 / 1个月以前发布
495,488,3室1厅 | 129.59平米 | 东 | 简装 | 中楼层(共24层) | 2004年建 | 塔楼,14人关注 / 4个月以前发布
496,839,3室1厅 | 109.4平米 | 东 北 | 简装 | 低楼层(共10层) | 2000年建 | 塔楼,49人关注 / 5个月以前发布
497,343,3室2厅 | 133.3平米 | 南 北 | 简装 | 2层  | 板楼,55人关注 / 4个月以前发布
498,708,3室1厅 | 158.07平米 | 南 北 | 简装 | 中楼层(共19层) | 2008年建 | 板楼,49人关注 / 2个月以前发布
499,575,3室2厅 | 165.83平米 | 南 北 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,21人关注 / 4个月以前发布
500,699,5室3厅 | 187.8平米 | 东 西 北 | 毛坯 | 顶层(共5层)  | 板楼,266人关注 / 11个月以前发布
501,530,3室2厅 | 137.6平米 | 南 北 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,61人关注 / 1个月以前发布
502,1550,4室2厅 | 210.19平米 | 南 北 | 简装 | 顶层(共22层)  | 板塔结合,78人关注 / 2个月以前发布
503,645,3室2厅 | 159.18平米 | 南 北 | 简装 | 11层  | 板楼,48人关注 / 1个月以前发布
504,466,3室1厅 | 134.3平米 | 南 北 | 精装 | 低楼层(共11层) | 2013年建 | 板楼,27人关注 / 1个月以前发布
505,432,3室2厅 | 108.55平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板塔结合,64人关注 / 2个月以前发布
506,390,3室1厅 | 89.52平米 | 北 南 东 | 简装 | 高楼层(共18层) | 2014年建 | 板楼,28人关注 / 2个月以前发布
507,629,3室2厅 | 197.63平米 | 南 北 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,15人关注 / 3个月以前发布
508,736,2室2厅 | 110.96平米 | 东 东南 南 北 | 精装 | 高楼层(共32层) | 2008年建 | 塔楼,162人关注 / 5个月以前发布
509,710,4室3厅 | 111.15平米 | 南 北 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,86人关注 / 1个月以前发布
510,708,3室1厅 | 158.07平米 | 南 北 | 简装 | 中楼层(共19层) | 2008年建 | 板楼,49人关注 / 2个月以前发布
511,575,3室2厅 | 165.83平米 | 南 北 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,21人关注 / 4个月以前发布
512,751,3室2厅 | 120.56平米 | 南 北 | 简装 | 底层(共17层) | 2004年建 | 板楼,93人关注 / 4个月以前发布
513,905,4室2厅 | 184.13平米 | 南 北 | 精装 | 15层  | 板楼,16人关注 / 2个月以前发布
514,353,2室2厅 | 60.33平米 | 南 北 | 简装 | 中楼层(共16层) | 2013年建 | 板塔结合,136人关注 / 9个月以前发布
515,1010,4室2厅 | 265.26平米 | 南 北 | 精装 | 2层 | 2004年建 | 板楼,123人关注 / 一年前发布
516,950,3室2厅 | 137.02平米 | 南 北 | 精装 | 底层(共4层) | 2006年建 | 板楼,33人关注 / 1个月以前发布
517,619,3室2厅 | 130.26平米 | 南 北 | 简装 | 低楼层(共12层) | 2008年建 | 板楼,38人关注 / 1个月以前发布
518,898,3室2厅 | 148.4平米 | 南 北 | 精装 | 中楼层(共11层) | 2003年建 | 板塔结合,154人关注 / 4个月以前发布
519,616,3室1厅 | 130.41平米 | 南 北 | 简装 | 中楼层(共12层) | 2008年建 | 板楼,70人关注 / 2个月以前发布
520,1300,5室2厅 | 316.18平米 | 南 北 | 简装 | 2层  | 板楼,90人关注 / 一年前发布
521,415,2室2厅 | 109.43平米 | 南 北 | 简装 | 6层  | 板楼,15人关注 / 3个月以前发布
522,1530,4室2厅 | 174.24平米 | 西南 东北 | 精装 | 低楼层(共26层) | 2001年建 | 塔楼,60人关注 / 4个月以前发布
523,425,2室2厅 | 113.52平米 | 南 北 | 简装 | 高楼层(共7层) | 2002年建 | 板楼,106人关注 / 2个月以前发布
524,560,2室2厅 | 102.5平米 | 东南 | 简装 | 高楼层(共19层) | 2013年建 | 板楼,31人关注 / 8天以前发布
525,850,3室1厅 | 107.14平米 | 东 西 北 | 精装 | 中楼层(共18层) | 2010年建 | 板塔结合,148人关注 / 1个月以前发布
526,736,2室2厅 | 110.96平米 | 东 东南 南 北 | 精装 | 高楼层(共32层) | 2008年建 | 塔楼,162人关注 / 5个月以前发布
527,629,3室2厅 | 197.63平米 | 南 北 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,15人关注 / 3个月以前发布
528,928,3室2厅 | 170.37平米 | 南 北 | 简装 | 18层 | 2013年建 | 板楼,14人关注 / 2个月以前发布
529,835,6室3厅 | 292.15平米 | 南 北 | 简装 | 底层(共4层) | 2003年建 | 板楼,54人关注 / 一年前发布
530,1588,4室2厅 | 392.14平米 | 南 北 | 精装 | 底层(共1层) | 2016年建 | 板楼,53人关注 / 8个月以前发布
531,585,4室3厅 | 231.78平米 | 南 北 | 简装 | 7层 | 2001年建 | 板楼,53人关注 / 4个月以前发布
532,1039,3室2厅 | 158.97平米 | 西 | 精装 | 中楼层(共22层) | 2009年建 | 板塔结合,60人关注 / 6个月以前发布
533,699,5室3厅 | 187.8平米 | 东 西 北 | 毛坯 | 顶层(共5层)  | 板楼,266人关注 / 11个月以前发布
534,699,4室2厅 | 225.97平米 | 南 北 | 精装 | 低楼层(共3层) | 2014年建 | 板楼,137人关注 / 1个月以前发布
535,530,3室2厅 | 137.6平米 | 南 北 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,61人关注 / 1个月以前发布
536,1550,4室2厅 | 210.19平米 | 南 北 | 简装 | 顶层(共22层)  | 板塔结合,78人关注 / 2个月以前发布
537,645,3室2厅 | 159.18平米 | 南 北 | 简装 | 11层  | 板楼,48人关注 / 1个月以前发布
538,668,4室2厅 | 179.05平米 | 南 北 | 简装 | 顶层(共11层) | 2005年建 | 板楼,143人关注 / 3个月以前发布
539,750,3室1厅 | 144.87平米 | 东南 | 简装 | 中楼层(共27层)  | 塔楼,94人关注 / 3个月以前发布
540,739,2室1厅 | 112.35平米 | 南 北 | 简装 | 底层(共5层)  | 板楼,56人关注 / 2个月以前发布
541,820,3室2厅 | 156.02平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,82人关注 / 1个月以前发布
542,460,4室2厅 | 235.69平米 | 南 西 | 简装 | 7层 | 2006年建 | 塔楼,60人关注 / 3个月以前发布
543,1100,4室2厅 | 180.79平米 | 南 北 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,55人关注 / 2个月以前发布
544,466,3室1厅 | 134.3平米 | 南 北 | 精装 | 低楼层(共11层) | 2013年建 | 板楼,27人关注 / 1个月以前发布
545,508,3室2厅 | 106平米 | 南 西 北 | 简装 | 低楼层(共12层) | 1994年建 | 板塔结合,65人关注 / 1个月以前发布
546,820,3室2厅 | 185.94平米 | 南 北 | 精装 | 底层(共4层) | 2004年建 | 暂无数据,37人关注 / 1个月以前发布
547,1470,3室2厅 | 179.47平米 | 东 南 北 | 精装 | 低楼层(共17层) | 2009年建 | 板塔结合,36人关注 / 2个月以前发布
548,645,3室2厅 | 144.16平米 | 东南 | 简装 | 低楼层(共31层) | 2003年建 | 塔楼,125人关注 / 2个月以前发布
549,470,4室2厅 | 212.35平米 | 南 北 | 简装 | 7层 | 2001年建 | 板楼,225人关注 / 5个月以前发布
550,377,3室2厅 | 126.57平米 | 南 北 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,72人关注 / 4个月以前发布
551,648,4室1厅 | 133.98平米 | 南 北 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,27人关注 / 2个月以前发布
552,739,3室1厅 | 96.57平米 | 南 北 | 精装 | 中楼层(共9层) | 2013年建 | 板楼,85人关注 / 1个月以前发布
553,645,3室2厅 | 148.98平米 | 南 北 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,36人关注 / 1个月以前发布
554,935,3室2厅 | 140.04平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,124人关注 / 4个月以前发布
555,838,3室2厅 | 145.99平米 | 南 北 | 精装 | 6层 | 2006年建 | 板楼,37人关注 / 1个月以前发布
556,800,3室1厅 | 142.95平米 | 南 北 | 精装 | 高楼层(共21层) | 2011年建 | 板塔结合,55人关注 / 1个月以前发布
557,415,3室2厅 | 104.05平米 | 南 北 西 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,41人关注 / 1个月以前发布
558,728,4室2厅 | 168.04平米 | 东 南 北 | 精装 | 高楼层(共6层) | 2016年建 | 板楼,21人关注 / 3个月以前发布
559,790,2室1厅 | 93.56平米 | 西 | 精装 | 低楼层(共11层) | 2005年建 | 塔楼,33人关注 / 1个月以前发布
560,759,3室2厅 | 121.8平米 | 南 | 简装 | 中楼层(共22层) | 2006年建 | 板楼,79人关注 / 2个月以前发布
561,409,4室1厅 | 138.62平米 | 南 北 | 简装 | 顶层(共9层) | 2015年建 | 板楼,49人关注 / 1个月以前发布
562,1290,3室1厅 | 126.25平米 | 南 北 | 精装 | 高楼层(共25层) | 2007年建 | 板楼,28人关注 / 1个月以前发布
563,930,3室1厅 | 120.56平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,61人关注 / 3个月以前发布
564,649,3室1厅 | 119.83平米 | 东 南 北 | 精装 | 7层  | 板楼,65人关注 / 3个月以前发布
565,780,3室1厅 | 76.6平米 | 南 北 | 精装 | 底层(共5层)  | 板楼,48人关注 / 1个月以前发布
566,916,4室2厅 | 156.93平米 | 东 南 北 | 精装 | 40层 | 2013年建 | 板塔结合,9人关注 / 3个月以前发布
567,1050,3室1厅 | 159.08平米 | 南 北 | 精装 | 高楼层(共25层) | 2012年建 | 板楼,60人关注 / 4个月以前发布
568,1450,3室2厅 | 144.84平米 | 南 北 | 精装 | 中楼层(共5层) | 2010年建 | 板楼,106人关注 / 2个月以前发布
569,775,2室2厅 | 88.13平米 | 东 北 | 简装 | 中楼层(共23层) | 2009年建 | 塔楼,33人关注 / 1个月以前发布
570,1090,3室2厅 | 223.77平米 | 东 西 南 | 简装 | 3层  | 板楼,113人关注 / 11个月以前发布
571,645,4室2厅 | 152.6平米 | 东 南 北 | 精装 | 顶层(共6层) | 2006年建 | 板楼,44人关注 / 6个月以前发布
572,490,2室2厅 | 91.2平米 | 南 北 | 简装 | 底层(共5层) | 2003年建 | 板楼,53人关注 / 1个月以前发布
573,1960,3室2厅 | 135.21平米 | 南 北 | 精装 | 顶层(共6层) | 2002年建 | 板楼,17人关注 / 1个月以前发布
574,490,3室2厅 | 138.52平米 | 东 南 北 | 简装 | 高楼层(共27层) | 2011年建 | 塔楼,8人关注 / 1个月以前发布
575,1960,3室2厅 | 170.16平米 | 南 北 | 简装 | 17层 | 2003年建 | 板楼,45人关注 / 1个月以前发布
576,739,3室1厅 | 96.57平米 | 南 北 | 精装 | 中楼层(共9层) | 2013年建 | 板楼,85人关注 / 1个月以前发布
577,935,3室2厅 | 140.04平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,124人关注 / 4个月以前发布
578,645,3室2厅 | 148.98平米 | 南 北 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,36人关注 / 1个月以前发布
579,838,3室2厅 | 145.99平米 | 南 北 | 精装 | 6层 | 2006年建 | 板楼,37人关注 / 1个月以前发布
580,800,3室1厅 | 142.95平米 | 南 北 | 精装 | 高楼层(共21层) | 2011年建 | 板塔结合,55人关注 / 1个月以前发布
581,916,4室2厅 | 156.93平米 | 东 南 北 | 精装 | 40层 | 2013年建 | 板塔结合,9人关注 / 3个月以前发布
582,1050,3室1厅 | 159.08平米 | 南 北 | 精装 | 高楼层(共25层) | 2012年建 | 板楼,60人关注 / 4个月以前发布
583,875,4室2厅 | 128.6平米 | 南 北 | 简装 | 顶层(共6层)  | 板楼,36人关注 / 2个月以前发布
